ｺｰﾄﾞ,,カナ名,〒,,TEL,FAX,取引先締日=締め日,必着日,取引先入金日＝入金日,回収方法,様,相手先担当１＝担当,連絡先１＝担当連絡先
659,坂田　秀穂                          ,ｻｶﾀﾋﾃﾞﾎ ,        ,日高郡美浜町吉原890-46,               ,               ,20,,10,1,1,　　　　　　,
666,合同会社　オフィスＭＥ              ,ｵﾌｨｽME  ,640-0351,和歌山県和歌山市吉礼90-5,073-466-2066   ,073-466-2118   ,0,,0,1,2,前田　隆一　,
984,株式会社岩崎製作所                  ,ｲﾜｻｷｾｲｻｸ,544-0015,大阪市生野区巽南1丁目8-28,06-6758-1084   ,06-6757-9120   ,20,,10,1,2,　　　　　　,
985,ウシオ産商株式会社 _　和歌山営業所,ｳｼｵｻﾝｼｮｳ,641-8374,和歌山市数寄屋丁15,073-431-0150   ,073-431-8333   ,20,,10,1,2,　　　　　　,
986,モリタ宮田工業株式会社 _　関西営業部,ﾓﾘﾀﾐﾔﾀ  ,536-0008,大阪府大阪市城東区関目2丁目15番5号,06-4255-5301   ,06-4255-5303   ,20,,10,1,2,　　　　　　,
987,ヤマトプロテック株式会社            ,ﾔﾏﾄﾌﾟﾛﾃｯ,537-0001,大阪府大阪市東成区深江北2-1-10,06-6976-0701   ,06-6976-0802   ,20,,10,1,2,材料周藤　　,06-6976-0701
989,株式会社上山                        ,ｳｴﾔﾏ    ,596-0822,大阪府岸和田市額原町716-3,072-428-1024   ,072-428-1027   ,20,,10,1,2,　　　　　　,
991,和歌山日産自動車株式会社 _　中島店,ﾆｯｻﾝﾅｶｼﾞ,641-0008,和歌山市北中島1-10-40,073-423-2223   ,               ,20,,10,1,2,　　　　　　,
992,和歌山日産自動車株式会社 _　大浦店,ﾆｯｻﾝｵｳﾗｶ,640-8404,和歌山市湊西ノ坪53,073-428-3311   ,               ,20,,10,1,2,　　　　　　,
995,株式会社川本製作所 _　和歌山営業所,ｶﾜﾓﾄﾎﾟﾝﾌ,640-8286,和歌山市湊御殿2丁目6-1,073-433-2997   ,073-435-3978   ,20,,10,1,2,　　　　　　,
996,原田物産株式会社 _　大阪営業所,ﾊﾗﾀﾞﾌﾞｯｻ,550-0013,大阪市西区新町1-5-7_四ツ橋ビルディング8階,06-6447-2231   ,06-6447-2241   ,20,,10,1,2,　　　　　　,
1030,ダイセイ技工                        ,ﾀﾞｲｾｲ   ,599-8112,大阪府堺市東区日置荘原寺町230-5,072-286-5637   ,               ,20,,0,1,2,谷口さん　　,
1049,ｍａｒｉ設備                        ,ﾏﾘｾﾂﾋﾞ  ,640-8301,和歌山県和歌山市岩橋60-17,073-488-6946   ,073-488-6946   ,31,,0,1,2,田添真理　　,
