売上№,売上日,行№,品名,単位,数量,単価,金額,備考
88491,2021/4/17,24,諸経費                                  ,式　,1,25500 ,25500 ,
88491,2021/4/17,25,                                        ,　　,      ,         ,          ,
88491,2021/4/17,26,スプリンクラー設備安全弁取付工事        ,　　,      ,         ,          ,
88491,2021/4/17,27,ベンレバー無安全弁（設定1Mpa）          ,個　,8,25000 ,200000 ,
88491,2021/4/17,28,配管SGP40A                              ,本　,2,4500 ,9000 ,
88491,2021/4/17,29,配管SGP25A                              ,本　,2,2500 ,5000 ,
88491,2021/4/17,30,同上付属品                              ,式　,1,80000 ,80000 ,
88491,2021/4/17,31,工事費                                  ,式　,1,450000 ,450000 ,
88491,2021/4/17,32,試験調整費                              ,式　,1,60000 ,60000 ,
88491,2021/4/17,33,消耗品雑材費                            ,式　,1,50000 ,50000 ,
88491,2021/4/17,34,諸経費                                  ,式　,1,81800 ,81800 ,
88493,2021/4/15,1,宮本様邸                                ,　　,      ,         ,          ,
88493,2021/4/15,2,電気設備工事                            ,式　,1,850000 ,850000 ,R2.12/26～4/15
88494,2021/4/3,1,山本様邸                                ,　　,      ,         ,          ,
88494,2021/4/3,2,外灯取替工事                            ,式　,1,23000 ,23000 ,3/5・4/3
88495,2021/4/25,1,図面作成費                              ,式　,1,250000 ,250000 ,
88495,2021/4/25,2,現場応援費                              ,式　,1,300000 ,300000 ,
88497,2021/4/13,1,クラーレホール消火器取替                ,　　,      ,         ,          ,
88497,2021/4/13,2,消火器10型                              ,本　,3,4000 ,12000 ,4月13日
88497,2021/4/13,3,消火器処分費                            ,本　,3,800 ,2400 ,〃
88499,2021/4/13,1,納品                                    ,　　,      ,         ,          ,
88499,2021/4/13,2,橋本環境分                              ,　　,      ,         ,          ,
88499,2021/4/13,3,光電式スポット型感知器2種(露出)         ,個　,2,9160 ,18320 ,
88499,2021/4/13,4,同上ベース                              ,個　,2,240 ,480 ,
88499,2021/4/13,5,                                        ,　　,      ,         ,          ,
88499,2021/4/13,6,丹生都比売神社分                        ,　　,      ,         ,          ,
88499,2021/4/13,7,赤外線式スポット型感知器　赤外2波長     ,個　,2,49500 ,99000 ,
88499,2021/4/13,8,(ヘッドのみ指定色)                      ,　　,      ,         ,          ,
88501,2021/4/16,1,ダイヤモンドプラザ　電球交換            ,　　,      ,         ,          ,
88501,2021/4/16,2,4月9日,　　,      ,         ,          ,
88501,2021/4/16,3,2階　階段前　シリカ球                   ,個　,1,350 ,350 ,
88501,2021/4/16,4,3階　階段前　シリカ球                   ,個　,1,350 ,350 ,
88501,2021/4/16,5,3階　廊下　ハロゲン球                   ,個　,2,1600 ,3200 ,
88501,2021/4/16,6,6階　階段前　シリカ球                   ,個　,1,350 ,350 ,
88501,2021/4/16,7,取替費                                  ,式　,1,5000 ,5000 ,
88501,2021/4/16,8,                                        ,　　,      ,         ,          ,
88501,2021/4/16,9,4月14日,　　,      ,         ,          ,
88501,2021/4/16,10,1階　廊下　ハロゲン球                   ,個　,1,1600 ,1600 ,
88501,2021/4/16,11,4階　廊下　ハロゲン球                   ,個　,1,1600 ,1600 ,
88501,2021/4/16,12,5階　階段前　シリカ球                   ,個　,1,350 ,350 ,
88501,2021/4/16,13,取替費                                  ,式　,1,3000 ,3000 ,
88501,2021/4/16,14,                                        ,　　,      ,         ,          ,
88501,2021/4/16,15,4月16日,　　,      ,         ,          ,
88501,2021/4/16,16,1階　廊下　ハロゲン球                   ,個　,1,1600 ,1600 ,
88501,2021/4/16,17,4階　廊下　ハロゲン球                   ,個　,1,1600 ,1600 ,
88501,2021/4/16,18,6階　廊下　ハロゲン球                   ,個　,1,1600 ,1600 ,
88501,2021/4/16,19,取替費                                  ,式　,1,3000 ,3000 ,
88504,2021/4/16,1,ダイヤモンドプラザ　4階 「みやこ」      ,　　,      ,         ,          ,
88504,2021/4/16,2,電球交換　4/16                          ,　　,      ,         ,          ,
88504,2021/4/16,3,看板灯　ハロゲン球                      ,個　,1,1600 ,1600 ,
88504,2021/4/16,4,取替費                                  ,式　,1,1000 ,1000 ,
88505,2021/4/16,1,エクロールプラザ　電球交換              ,　　,      ,         ,          ,
88505,2021/4/16,2,3月22日,　　,      ,         ,          ,
88505,2021/4/16,3,1階　自動販売機上部　ボール球           ,個　,1,350 ,350 ,
88505,2021/4/16,4,7階　廊下　表示灯球                     ,個　,1,150 ,150 ,
88505,2021/4/16,5,取替費                                  ,式　,1,2000 ,2000 ,
88505,2021/4/16,6,                                        ,　　,      ,         ,          ,
88505,2021/4/16,7,4月9日,　　,      ,         ,          ,
88505,2021/4/16,8,2階　廊下　ＦＨＴ４２ＥＸ－Ｌ           ,本　,1,2000 ,2000 ,
88505,2021/4/16,9,取替費                                  ,式　,1,1000 ,1000 ,
88505,2021/4/16,10,                                        ,　　,      ,         ,          ,
88505,2021/4/16,11,4月16日,　　,      ,         ,          ,
88505,2021/4/16,12,4階　ＥＶ前　クリプトン球               ,個　,1,450 ,450 ,
88505,2021/4/16,13,5階　ＥＶ前　クリプトン球               ,個　,1,450 ,450 ,
88505,2021/4/16,14,3階　内部階段　誘導灯球20W              ,個　,1,340 ,340 ,
88505,2021/4/16,15,4階　内部階段　誘導灯球20W              ,個　,1,340 ,340 ,
88505,2021/4/16,16,5階　内部階段　誘導灯球20W              ,個　,1,340 ,340 ,
88505,2021/4/16,17,取替費                                  ,式　,1,5000 ,5000 ,
88506,2021/4/7,1,見積番号：364                           ,      ,,　　,         ,
88506,2021/4/7,2,三菱電機㈱冷熱システム製作所            ,      ,,　　,         ,
88506,2021/4/7,3,1K工場　壁掛非常放送設備設定基盤取替工事,式　,1,75000 ,75000 ,3/29～4/7
88507,2021/4/14,1,見積番号：363                           ,　　,      ,         ,          ,
88507,2021/4/14,2,三菱電機㈱冷熱システム製作所            ,　　,      ,         ,          ,
88507,2021/4/14,3,2工場　受信機用バッテリー取替工事       ,式　,1,20000 ,20000 ,4月14日
88508,2021/4/12,1,見積番号：346                           ,　　,      ,         ,          ,
88508,2021/4/12,2,三菱電機㈱冷熱システム製作所            ,　　,      ,         ,          ,
88508,2021/4/12,3,消防設備保守点検後改修工事              ,式　,1,2200000 ,2200000 ,3/19･26･4/12
88509,2021/4/18,1,三菱電機㈱冷熱システム製作所            ,　　,      ,         ,          ,
88509,2021/4/18,2,6工場4階　感知器増設工事                ,式　,1,45000 ,45000 ,4/17・18
88515,2021/4/20,1,新宮家賃・光熱費(9月～2月）             ,　　,      ,         ,          ,
88515,2021/4/20,2,家賃(仲介手数料、礼金、駐車場代)        ,式　,1,586000 ,586000 ,
88515,2021/4/20,3,電気料金                                ,式　,1,42010 ,42010 ,
88515,2021/4/20,4,ガス料金                                ,式　,1,33291 ,33291 ,
88515,2021/4/20,5,水道料金(浄化槽汲み取り費含)            ,式　,1,30109 ,30109 ,
88526,2021/4/9,1,消防設備保守点検に伴う改修工事          ,　　,      ,         ,          ,
88526,2021/4/9,2,タムラビル様                            ,　　,      ,         ,          ,
88526,2021/4/9,3,避難口B球BL型（片面）                   ,台　,3,27480 ,82440 ,4/2・4/9
88526,2021/4/9,4,リニューアルプレート　壁付型            ,台　,2,4980 ,9960 ,〃
88526,2021/4/9,5,リニューアルプレート　天付型            ,台　,1,4680 ,4680 ,〃
88526,2021/4/9,6,避難はしご（自在式4.6ｍ）               ,台　,1,38000 ,38000 ,〃
88526,2021/4/9,7,格納箱                                  ,台　,1,12000 ,12000 ,〃
88526,2021/4/9,8,工事費                                  ,式　,1,25000 ,25000 ,〃
88526,2021/4/9,9,諸経費                                  ,式　,1,2620 ,2620 ,〃
88528,2021/4/9,1,消防設備保守点検に伴う改修工事          ,      ,,　　,         ,
88528,2021/4/9,2,ナビオミカサビル様                      ,      ,,　　,         ,
88528,2021/4/9,3,粉末ABC消火器10型(リサイクルシール付)   ,本　,1,4500 ,4500 ,4/2・4/9
88528,2021/4/9,4,消火器処分費                            ,本　,1,800 ,800 ,〃
88529,2021/4/14,1,メイプル甲子園                          ,　　,      ,         ,          ,
88529,2021/4/14,2,差動式スポット型感知器2種               ,個　,2,1895 ,3790 ,4月14日
88529,2021/4/14,3,定温式スポット型感知器特種60°          ,個　,1,1350 ,1350 ,〃
88529,2021/4/14,4,取替費                                  ,式　,1,20000 ,20000 ,〃
88529,2021/4/14,5,諸経費                                  ,式　,1,2860 ,2860 ,〃
88530,2021/4/13,1,チキチキロック                          ,　　,      ,         ,          ,
88530,2021/4/13,2,機器一時撤去及び復旧工事                ,式　,1,15000 ,15000 ,4/12・4/13
88531,2021/4/8,1,ふじの里                                ,　　,      ,         ,          ,
88531,2021/4/8,2,調査費                                  ,式　,1,10000 ,10000 ,4月8日
88532,2021/4/12,1,スカイハイツオカモト                    ,　　,      ,         ,          ,
88532,2021/4/12,2,消防設備取替工事                        ,式　,1,2818182 ,2818182 ,3/5～4/8
88533,2021/4/30,1,東大阪医療センター                      ,　　,      ,         ,          ,
88533,2021/4/30,2,スプリンクラー設備                      ,　　,      ,         ,          ,
88533,2021/4/30,3,スプリンクラーヘッド撤去                ,個　,4,         ,          ,
88533,2021/4/30,4,同上付属品                              ,式　,1,5000 ,5000 ,
88533,2021/4/30,5,撤去費                                  ,式　,1,50000 ,50000 ,
88533,2021/4/30,6,水抜き作業費                            ,式　,1,30000 ,30000 ,
88533,2021/4/30,7,消耗品雑材費                            ,式　,1,5000 ,5000 ,
88533,2021/4/30,8,                                        ,　　,      ,         ,          ,
88533,2021/4/30,9,自動火災報知設備                        ,　　,      ,         ,          ,
88533,2021/4/30,10,感知器撤去及び取付                      ,式　,1,40000 ,40000 ,
88533,2021/4/30,11,試験調整費                              ,式　,1,20000 ,20000 ,
88533,2021/4/30,12,消耗品雑材費                            ,式　,1,2000 ,2000 ,
88533,2021/4/30,13,諸経費                                  ,式　,1,15000 ,15000 ,
88533,2021/4/30,14,                                        ,　　,      ,         ,          ,
88533,2021/4/30,15,※消防検査費別途￥80000                 ,　　,      ,         ,          ,
88535,2021/4/1,1,よつば動物病院改修工事                  ,式　,1,1461000 ,1461000 ,3/18・4/1
88537,2021/4/15,1,㈱富玄　スカイビュー本町マンション      ,　　,      ,         ,          ,
88537,2021/4/15,2,実差動試験                              ,式　,1,10000 ,10000 ,4月15日
88538,2021/4/10,1,エバグリーン湯浅店                      ,　　,      ,         ,          ,
88538,2021/4/10,2,断線復旧工事                            ,式　,1,50000 ,50000 ,4月10日
88539,2021/4/30,1,消防設備保守点検                        ,　　,      ,         ,          ,
88539,2021/4/30,2,北野田ビル（機器点検）                  ,式　,1,150000 ,150000 ,3月26日
88539,2021/4/30,3,ラッキー1BAN宝塚店（機器点検）          ,式　,1,50000 ,50000 ,4月8日
88539,2021/4/30,4,カメリア貝塚営業所（総合点検）          ,式　,1,60000 ,60000 ,4月12日
88540,2021/4/21,1,123+N和歌山本店                         ,　　,      ,         ,          ,
88540,2021/4/21,2,自動火災報知設備誤報による感知器取替工事,式　,1,11500 ,11500 ,4月21日
88541,2021/4/13,1,123塩屋店                               ,　　,      ,         ,          ,
88541,2021/4/13,2,誘導灯取替工事                          ,式　,1,60000 ,60000 ,4月13日
88542,2021/4/24,1,消防設備保守点検                        ,　　,      ,         ,          ,
88542,2021/4/24,2,ソワサントゥヴァレ（総合点検）          ,式　,1,30000 ,30000 ,4/23・4/24
88544,2021/4/28,1,123＋Nはりまや橋店                      ,　　,      ,         ,          ,
88544,2021/4/28,2,喫煙室ブース増設工事                    ,式　,1,135500 ,135500 ,
88545,2021/4/16,1,りんくうプレミアムアウトレット          ,　　,      ,         ,          ,
88545,2021/4/16,2,2600区画　納品                          ,　　,      ,         ,          ,
88545,2021/4/16,3,粉末ABC消火器10型（設置台共）           ,本　,6,5000 ,30000 ,4月16日
88545,2021/4/16,4,                                        ,　　,      ,         ,          ,
88545,2021/4/16,5,1600区画　納品                          ,　　,      ,         ,          ,
88545,2021/4/16,6,粉末ABC消火器10型（設置台共）           ,本　,1,5000 ,5000 ,4月16日
88546,2021/4/30,1,消防設備保守点検                        ,　　,      ,         ,          ,
88546,2021/4/30,2,岸和田競輪場（総合点検）                ,式　,1,320000 ,320000 ,3/29～3/31
88546,2021/4/30,3,ライオンズマンション十番丁（機器点検）  ,式　,1,112000 ,112000 ,4月10日
88547,2021/4/1,1,りんくうプレミアムアウトレット          ,　　,      ,         ,          ,
88547,2021/4/1,2,2110区画　消防設備工事                  ,式　,1,568000 ,568000 ,2/6～4/1
88547,2021/4/1,3,〃　　　スプリンクラー設備工事          ,式　,1,100000 ,100000 ,〃
88548,2021/4/1,1,りんくうプレミアムアウトレット          ,　　,      ,         ,          ,
88548,2021/4/1,2,P1　粉末移動式消火設備取替工事          ,式　,1,136000 ,136000 ,4月1日
88549,2021/4/15,1,りんくうプレミアムアウトレットP1･P2･P3  ,　　,      ,         ,          ,
88549,2021/4/15,2,連結送水管耐圧性能試験                  ,式　,1,320000 ,320000 ,4月15日
88550,2021/4/7,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88550,2021/4/7,2,M棟3階14駐車場端末断線調査              ,式　,1,27000 ,27000 ,4月7日
88551,2021/4/7,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88551,2021/4/7,2,280区画　新店防災B工事                  ,式　,1,2682000 ,2682000 ,3/17～4/7
88552,2021/4/10,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88552,2021/4/10,2,280区画　消防検査指摘是正工事           ,式　,1,135000 ,135000 ,4月10日
88553,2021/4/13,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88553,2021/4/13,2,229区画　カットリレー電源配線作業       ,式　,1,116100 ,116100 ,4月13日
88554,2021/4/24,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88554,2021/4/24,2,229区画　新店(排煙スイッチ脱着)B工事    ,式　,1,50400 ,50400 ,4/10・4/24
88555,2021/4/21,1,イオンモール日根野店                    ,　　,      ,         ,          ,
88555,2021/4/21,2,デリカ作業場ガス漏れ感知器取替工事      ,式　,1,13500 ,13500 ,4月21日
88556,2021/4/24,1,イオンモールりんくう泉南                ,　　,      ,         ,          ,
88556,2021/4/24,2,229区画　カットリレー設置B工事          ,式　,1,114300 ,114300 ,4月24日
88557,2021/4/2,1,ライオンズマンション中松江分　納品      ,　　,      ,         ,          ,
88557,2021/4/2,2,消火器プレート                          ,式　,1,2550 ,2550 ,4月2日
88559,2021/4/30,1,消防設備保守点検                        ,　　,      ,         ,          ,
88559,2021/4/30,2,エバグリーン和泉芦部店（総合点検）      ,式　,1,48000 ,48000 ,4月13日
88560,2021/4/30,1,消防設備保守点検                        ,　　,      ,         ,          ,
88560,2021/4/30,2,パラッツォヴェルデ（総合点検）          ,式　,1,15000 ,15000 ,3月25日
88560,2021/4/30,3,ｽｰﾊﾟｰｴﾊﾞｸﾞﾘｰﾝﾌﾟﾗｽ上富田店（総合点検）   ,式　,1,48000 ,48000 ,3月31日
88560,2021/4/30,4,和歌山日産自動車㈱大浦店（機器点検）    ,式　,1,30000 ,30000 ,4月5日
88560,2021/4/30,5,スーパーデリシャスヒロ高松店（総合点検）,式　,1,48000 ,48000 ,4月12日
88560,2021/4/30,6,〃　　　（防火対象物点検）              ,式　,1,48000 ,48000 ,〃
88560,2021/4/30,7,ミノシマハイツ24（総合点検）            ,式　,1,22500 ,22500 ,4月17日
88560,2021/4/30,8,エバグリーン紀三井寺店（総合点検）      ,式　,1,24000 ,24000 ,4月19日
88560,2021/4/30,9,ｽｰﾊﾟｰｴﾊﾞｸﾞﾘｰﾝﾌﾟﾗｽ岩出高塚店（機器点検） ,式　,1,24000 ,24000 ,4月21日
88560,2021/4/30,10,エバグリーン吉備店（機器点検）          ,式　,1,24000 ,24000 ,4月22日
88560,2021/4/30,11,エイトマートン有田川土生店（機器点検）  ,式　,1,24000 ,24000 ,〃
88560,2021/4/30,12,デリシャス廣岡有田店（総合点検）        ,式　,1,48000 ,48000 ,4月26日
88560,2021/4/30,13,〃　　　（防火対象物点検）              ,式　,1,48000 ,48000 ,〃
88560,2021/4/30,14,エイトマートン湯浅吉川店（総合点検）    ,式　,1,24000 ,24000 ,〃
88560,2021/4/30,15,ｽｰﾊﾟｰｴﾊﾞｸﾞﾘｰﾝ和歌山北ｲﾝﾀｰ店（機器点検） ,式　,1,24000 ,24000 ,4/27・4/28
88562,2021/4/30,1,ひろみ家具                              ,　　,      ,         ,          ,
88562,2021/4/30,2,屋上配管撤去                            ,式　,1,730000 ,730000 ,
88565,2021/4/30,1,瀬藤病院ドレンパン設置工事              ,式　,1,315000 ,315000 ,
88565,2021/4/30,2,〃　　　追加工事                        ,式　,1,110600 ,110600 ,
88566,2021/4/28,1,ロイヤルガーデン西浜                    ,　　,      ,         ,          ,
88566,2021/4/28,2,実差動試験                              ,式　,1,10000 ,10000 ,4月28日
88569,2021/4/23,1,りんくうプレミアムアウトレット          ,　　,      ,         ,          ,
88569,2021/4/23,2,2600区画　消防設備工事                  ,式　,1,1006000 ,1006000 ,2/5～4/23
88569,2021/4/23,3,〃　　　スプリンクラー設備工事          ,式　,1,1000000 ,1000000 ,〃
88570,2021/4/30,1,ひろみ家具泉佐野店新築工事              ,　　,      ,         ,          ,
88570,2021/4/30,2,設備工事　契約金￥12000000              ,式　,1,12000000 ,12000000 ,
88570,2021/4/30,3,                                        ,　　,      ,         ,          ,
88570,2021/4/30,4,追加工事                                ,　　,      ,         ,          ,
88570,2021/4/30,5,屋上室外機及空調機チラー撤去            ,式　,1,100000 ,100000 ,
88570,2021/4/30,6,廃棄処分費                              ,式　,1,50000 ,50000 ,
88570,2021/4/30,7,コンセント増設工事                      ,式　,1,100000 ,100000 ,
88570,2021/4/30,8,外部配線撤去及び新設工事                ,式　,1,80000 ,80000 ,
88570,2021/4/30,9,                                        ,　　,      ,         ,          ,
88570,2021/4/30,10,看板電球取替工事                        ,個　,6,15000 ,90000 ,
88570,2021/4/30,11,                                        ,　　,      ,         ,          ,
88570,2021/4/30,12,抜け止めコンセント                      ,個　,30,550 ,16500 ,
88570,2021/4/30,13,吊り下げディスプレイ                    ,個　,30,250 ,7500 ,
88570,2021/4/30,14,ＭＡＹＵＨＡＮＡ　ＭＡ　ＢＬＡＣＫ      ,　　,      ,         ,          ,
88570,2021/4/30,15,321P2909B　ペンダント照明　ヤマギワ     ,台　,1,48950 ,48950 ,
88570,2021/4/30,16,321P2910B　ペンダント照明　ヤマギワ     ,式　,1,36550 ,36550 ,
88570,2021/4/30,17,送料                                    ,式　,1,2500 ,2500 ,
88571,2021/4/30,1,岸和田市民病院                          ,　　,      ,         ,          ,
88571,2021/4/30,2,感知器撤去及び取付                      ,式　,1,30000 ,30000 ,
88571,2021/4/30,3,スプリンクラーヘッド撤去                ,個　,2,         ,          ,
88571,2021/4/30,4,同上付属品                              ,式　,1,3000 ,3000 ,
88571,2021/4/30,5,撤去費                                  ,式　,1,40000 ,40000 ,
88571,2021/4/30,6,水抜き作業費                            ,式　,1,30000 ,30000 ,
88571,2021/4/30,7,消耗品雑材費                            ,式　,1,5000 ,5000 ,
88571,2021/4/30,8,諸経費                                  ,式　,1,11000 ,11000 ,
88573,2021/4/27,1,畑山製作所　千旦工場　納品              ,　　,      ,         ,          ,
88573,2021/4/27,2,粉末ABC消火器10型                       ,本　,9,4000 ,36000 ,4/26・4/27
88573,2021/4/27,3,粉末ABC消火器20型                       ,本　,3,7500 ,22500 ,〃
88573,2021/4/27,4,粉末ABC消火器4型                        ,本　,5,3000 ,15000 ,〃
88573,2021/4/27,5,粉末ABC消火器5型（自動車用）            ,本　,1,6000 ,6000 ,〃
88574,2021/4/30,1,株式会社アイセン様                      ,　　,      ,         ,          ,
88574,2021/4/30,2,現調・水処理                            ,式　,1,11000 ,11000 ,
88574,2021/4/30,3,消火ﾎﾟﾝﾌﾟﾎﾞｰﾙﾀｯﾌﾟ取替･ﾎｰﾑﾎﾟﾝﾌﾟﾊﾟｯｷﾝ取替 ,　　,      ,         ,          ,
88574,2021/4/30,4,複式ﾎﾞｰﾙﾀｯﾌﾟﾎﾟﾘ玉付　13FW               ,台　,1,5720 ,5720 ,
88574,2021/4/30,5,25A用ﾊﾟｯｷﾝ                              ,枚　,1,2750 ,2750 ,
88574,2021/4/30,6,取替費                                  ,式　,1,11000 ,11000 ,
88574,2021/4/30,7,諸経費                                  ,式　,1,3530 ,3530 ,
88575,2021/4/30,1,アスモ大和郡山                          ,　　,      ,         ,          ,
88575,2021/4/30,2,フード弁調査                            ,式　,1,80000 ,80000 ,
88576,2021/4/30,1,(仮称)コーナン足立扇店                  ,　　,      ,         ,          ,
88576,2021/4/30,2,スプリンクラー設備天井漏水対応          ,式　,1,70000 ,70000 ,
88577,2021/5/7,1,エルベロワイヤル603号                   ,　　,      ,         ,          ,
88577,2021/5/7,2,感知器調査及び移設工事                  ,式　,1,29000 ,29000 ,4月19日
88577,2021/5/7,1,エルベロワイヤル603号                   ,　　,      ,         ,          ,
88577,2021/5/7,2,感知器調査及び移設工事                  ,式　,1,29000 ,29000 ,4月19日
88578,2021/4/30,1,表参道インベストメントビル              ,　　,      ,         ,          ,
88578,2021/4/30,2,建築設備検査及び防火対象物検査          ,式　,1,140000 ,140000 ,4月17日
88581,2021/5/20,1,消防設備保守点検                        ,　　,      ,         ,          ,
88581,2021/5/20,2,シャーメゾンオーキッド                  ,式　,1,770 ,770 ,
88581,2021/5/20,3,メゾンクレール                          ,式　,1,495 ,495 ,
88581,2021/5/20,4,フォーレスロ―カット                    ,式　,1,1320 ,1320 ,
88581,2021/5/20,5,シャーメゾン府中                        ,式　,1,495 ,495 ,
88581,2021/5/20,6,ヴィオス神前                            ,式　,1,495 ,495 ,
88581,2021/5/20,7,ヴィオトープ                            ,式　,1,770 ,770 ,
88581,2021/5/20,8,ジュリアード松江                        ,式　,1,770 ,770 ,
88581,2021/5/20,9,シャーメゾンうの                        ,式　,1,495 ,495 ,
88581,2021/5/20,10,シャーメゾン広川                        ,式　,1,495 ,495 ,
88581,2021/5/20,11,メゾン・ルテシィアⅡ                    ,式　,1,495 ,495 ,
88581,2021/5/20,12,シャーメゾン岩出                        ,式　,1,704 ,704 ,
88581,2021/5/20,13,シャーメゾン黒江                        ,式　,1,495 ,495 ,
88581,2021/5/20,14,シャーメゾン野田                        ,式　,1,737 ,737 ,
88581,2021/5/20,15,フロントパディーⅡ                      ,式　,1,737 ,737 ,
88581,2021/5/20,16,シャーメゾン名高                        ,式　,1,2068 ,2068 ,
88581,2021/5/20,17,シャーメゾン尾崎                        ,式　,1,1485 ,1485 ,
88581,2021/5/20,18,シャーメゾン有田                        ,式　,1,825 ,825 ,
88581,2021/5/20,19,シャーメゾン中島                        ,式　,1,770 ,770 ,
88581,2021/5/20,20,グリーンルーフ                          ,式　,1,660 ,660 ,
88581,2021/5/20,21,グリーンルーフ                          ,式　,1,660 ,660 ,
88581,2021/5/20,22,シャーメゾン砂山南                      ,式　,1,5907 ,5907 ,
88581,2021/5/20,23,べレオＫ                                ,式　,1,2068 ,2068 ,
88581,2021/5/20,24,べレオ太田                              ,式　,1,2068 ,2068 ,
88581,2021/5/20,25,シャーメゾンｂｒｉｌｌｉａｎｔ          ,式　,1,770 ,770 ,
88581,2021/5/20,26,べレオ新通                              ,式　,1,2068 ,2068 ,
88581,2021/5/20,27,アメニティ太田                          ,式　,1,770 ,770 ,
88581,2021/5/20,28,べレオ堀止西                            ,式　,1,2068 ,2068 ,
88581,2021/5/20,29,ヴィレッジ三年坂                        ,式　,1,4136 ,4136 ,
88581,2021/5/20,30,ベレオ西浜ハーモニーガーデン            ,式　,1,3102 ,3102 ,
88581,2021/5/20,31,ディアス妙寺                            ,式　,1,693 ,693 ,
88581,2021/5/20,32,グリーンルーフ妙寺                      ,式　,1,990 ,990 ,
88581,2021/5/20,33,ベレオ園部                              ,式　,1,3102 ,3102 ,
88581,2021/5/20,34,ガーデンハイツⅡ                        ,式　,1,770 ,770 ,
88581,2021/5/20,35,コラール堀止                            ,式　,1,770 ,770 ,
88581,2021/5/20,36,シャーメゾン葵                          ,式　,1,495 ,495 ,
88581,2021/5/20,37,ベルデ堀口                              ,式　,1,2068 ,2068 ,
88581,2021/5/20,38,シャーメゾンＷＩＬＬ                    ,式　,1,770 ,770 ,
88581,2021/5/20,39,ＳｈａＭａｉｓｏｎ　ＮＡ                ,式　,1,770 ,770 ,
88581,2021/5/20,40,ベレオＢｒｉｌｌｉａｎｔ                ,式　,1,1650 ,1650 ,
88581,2021/5/20,41,ベレオ紀三井寺                          ,式　,1,1100 ,1100 ,
88581,2021/5/20,42,ベレオけやき                            ,式　,1,4136 ,4136 ,
88581,2021/5/20,43,シャーメゾン松江北                      ,式　,1,495 ,495 ,
88581,2021/5/20,44,ベレオコスモ                            ,式　,1,1650 ,1650 ,
88581,2021/5/20,45,シャーメゾンＬａＬａ                    ,式　,1,770 ,770 ,
88581,2021/5/20,46,ベレオ小堀                              ,式　,1,4136 ,4136 ,
88581,2021/5/20,47,ベレオ寺町通り                          ,式　,1,3102 ,3102 ,
88581,2021/5/20,48,メゾンド・ベレオ                        ,式　,1,1650 ,1650 ,
88581,2021/5/20,49,シャーメゾン宝亀                        ,式　,1,3454 ,3454 ,
88581,2021/5/20,50,ベレオ小野町                            ,式　,1,2068 ,2068 ,
88581,2021/5/20,51,シャーメゾン彩花                        ,式　,1,990 ,990 ,
88581,2021/5/20,52,ベレオ広瀬                              ,式　,1,5907 ,5907 ,
88581,2021/5/20,53,Ｔｏｕｒｎｅｓｏｌ                      ,式　,1,4136 ,4136 ,
88581,2021/5/20,54,Ｍａｉｓｏｎ　ｄｅ　Ａｌｌｉｅ          ,式　,1,495 ,495 ,
88581,2021/5/20,55,ディアス松野                            ,式　,1,1045 ,1045 ,
88581,2021/5/20,56,プロヌーブ今福                          ,式　,1,990 ,990 ,
88581,2021/5/20,57,ベレオ黒田ＳＯＵＴＨ                    ,式　,1,990 ,990 ,
88581,2021/5/20,58,Ｆｅｌｉｃａ紀三井寺                    ,式　,1,770 ,770 ,
88581,2021/5/20,59,ＢＥＲＥＯ　ＷＡＫＡＹＡＭＡ            ,式　,1,1595 ,1595 ,
88581,2021/5/20,60,シャーメゾン茶屋ノ丁                    ,式　,1,495 ,495 ,
88581,2021/5/20,61,ベレオくすのき                          ,式　,1,4136 ,4136 ,
88581,2021/5/20,62,ＢＥＲＥＯ　Ｒｉａｎ                    ,式　,1,3102 ,3102 ,
88581,2021/5/20,63,フレグランス船所                        ,式　,1,1166 ,1166 ,
88581,2021/5/20,64,フレグランス船所Ⅱ                      ,式　,1,1320 ,1320 ,
88581,2021/5/20,65,メゾンドソレイユ                        ,式　,1,245 ,245 ,
88581,2021/5/20,66,シャーメゾンガーデンズ紀三井寺          ,式　,1,770 ,770 ,
88581,2021/5/20,67,シャーメゾン幡川                        ,式　,1,990 ,990 ,
88581,2021/5/20,68,ロイヤルヒルズ三番丁                    ,式　,1,1650 ,1650 ,
88581,2021/5/20,69,シャーメゾン秋月の杜                    ,式　,1,770 ,770 ,
88581,2021/5/20,70,ブランシェ堀止                          ,式　,1,495 ,495 ,
88581,2021/5/20,71,ベレオクシモト                          ,式　,1,4092 ,4092 ,
88581,2021/5/20,72,ベレオグルース西紺屋                    ,式　,1,1595 ,1595 ,
88581,2021/5/20,73,プロヌーブ下津野                        ,式　,1,990 ,990 ,
88581,2021/5/20,74,リヴェール　ヒデ                        ,式　,1,770 ,770 ,
88581,2021/5/20,75,シャーメゾンＭＩＳＡ                    ,式　,1,660 ,660 ,
88581,2021/5/20,76,ディアス松島                            ,式　,1,517 ,517 ,
88581,2021/5/20,77,Ｂｅｒｅｏ　宙                          ,式　,1,1518 ,1518 ,
88581,2021/5/20,78,ベレオ金龍寺丁                          ,式　,1,1650 ,1650 ,
