ｺｰﾄﾞ,,カナ名,〒,,TEL,FAX,取引先締日=締め日,必着日,取引先入金日＝入金日,回収方法,様,相手先担当１＝担当,連絡先１＝担当連絡先,請求先ｺｰﾄﾞ
170,奥村電気設備                        ,ｵｸﾑﾗﾃﾞﾝｷ,642-0022,和歌山県海南市大野中286-6,073-483-7501   ,               ,20,,10,1,2,　　　　　　,               ,
171,堀口整形外科病院                    ,ﾎﾘｸﾞﾁ   ,640-8033,和歌山県和歌山市本町5丁目35,073-431-1271   ,               ,31,,20,1,2,　　　　　　,               ,
172,門田電機                            ,ﾓﾝﾀﾞﾃﾞﾝｷ,638-0811,奈良県吉野郡大淀町土田2-47,               ,               ,31,,0,1,2,門田　　　　,080-1526-7504  ,
173,有限会社赤土                        ,ｱｶﾂﾁ    ,640-8303,和歌山県和歌山市鳴神519,               ,               ,20,,31,1,2,　　　　　　,               ,
174,株式会社松源                        ,ﾏﾂｹﾞﾝ   ,640-8137,和歌山県和歌山市吹上2丁目4-50,073-436-2381   ,               ,20,,20,1,2,　　　　　　,               ,
175,株式会社ファーストオーエー          ,ﾌｧｰｽﾄｵｰｴ,649-6337,和歌山市田屋216-5,073-464-3557   ,073-464-3558   ,31,,31,1,2,　　　　　　,               ,
176,田口 博章 _（田口倉庫）,ﾀｸﾞﾁｿｳｺ ,643-0846,和歌山県有田郡有田川町田口211,               ,               ,20,,20,1,1,　　　　　　,               ,
177,第一電機設備工業株式会社            ,ﾀﾞｲｲﾁﾃﾞﾝ,640-8220,和歌山県和歌山市下町47,073-433-1351   ,               ,31,,31,1,2,　　　　　　,               ,
178,有限会社匠英舎                      ,ｼｮｳｴｲｼｬ ,546-0022,大阪府大阪市東住吉区住道矢田6-8-6,06-6702-2601   ,06-6702-2602   ,31,,10,1,2,　　　　　　,               ,
179,増田内科                            ,ﾏｽﾀﾞﾅｲｶ ,640-8425,和歌山県和歌山市松江北4丁目3-30,073-453-5735   ,               ,31,,20,1,2,　　　　　　,               ,
180,株式会社成祐設備工業                ,ｾｲﾕｳｾﾂﾋﾞ,642-0032,和歌山県海南市名高451番29,073-463-4685   ,073-463-4685   ,20,,20,1,2,　　　　　　,               ,
181,株式会社青木実業                    ,ｱｵｷｼﾞﾂｷﾞ,641-0006,和歌山県和歌山市中島476,073-474-8403   ,073-474-8404   ,20,,31,1,2,　　　　　　,               ,
182,1.5cafe                             ,ｲﾁｺｶﾌｪ  ,643-0032,和歌山県有田郡有田川町天満747-6,               ,               ,20,,31,1,2,　　　　　　,               ,
183,有限会社プラスケア                  ,ﾌﾟﾗｽｹｱ  ,641-0005,和歌山県和歌山市田尻153-5,073-475-9007   ,073-475-9015   ,31,,20,1,2,　　　　　　,               ,
184,長添電工                            ,ﾅｶﾞｿﾞｴﾃﾞ,642-0014,和歌山県海南市小野田1531-160,               ,               ,20,,20,1,2,　　　　　　,               ,
185,浦電器店                            ,ｳﾗﾃﾞﾝｷ  ,640-8483,和歌山県和歌山市園部1088-16,073-462-2994   ,               ,31,,0,1,2,　　　　　　,               ,
186,かわばた産婦人科                    ,ｶﾜﾊﾞﾀｻﾝﾌ,        ,,               ,               ,31,,0,1,2,　　　　　　,               ,
188,プレイランド・サーカス              ,ｻｰｶｽ    ,640-8425,和歌山県和歌山市松江北1丁目3-13,073-453-0005   ,               ,20,,20,1,2,　　　　　　,               ,
189,株式会社将勇商事                    ,ﾏｻﾕｳｼｮｳｼ,640-8341,和歌山市黒田34-1,073-475-7731   ,               ,20,,20,1,2,　　　　　　,               ,
190,三井ホーム株式会社                  ,ﾐﾂｲﾎｰﾑ  ,641-0007,和歌山市小雑賀781_ＫＴＶハウジング和歌山総合住宅展示場内,073-426-7731   ,073-426-8031   ,20,,0,1,2,　　　　　　,               ,
191,アルプデンキ                        ,ｱﾙﾌﾟﾃﾞﾝｷ,642-0002,和歌山県海南市日方1273-5,073-482-1736   ,073-482-7111   ,20,,20,1,2,　　　　　　,9014887374,
192,井口　浩志様・井口　彩奈様          ,ｲｸﾞﾁﾋﾛｼｱ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
193,株式会社杉本興業 _タイヤリサイクルセンター,ｽｷﾞﾓﾄｺｳｷ,649-6275,和歌山県和歌山市吐前941,073-477-7157   ,               ,20,,20,1,2,　　　　　　,               ,
194,井口　浩志                          ,ｲｸﾞﾁﾋﾛｼ ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
195,株式会社後藤武治商店                ,ｺﾞﾄｳｼｮｳﾃ,640-8301,和歌山県和歌山市岩橋890-1,073-472-8566   ,               ,20,,25,1,2,　　　　　　,               ,
196,株式会社シンセイホーム              ,ｼﾝｾｲﾎｰﾑ ,587-0062,大阪府堺市美原区太井346-2,072-363-7704   ,072-363-7703   ,31,,0,1,2,　　　　　　,               ,
197,パーラーゴリラ                      ,ﾊﾟｰﾗｰｺﾞﾘ,644-0011,和歌山県御坊市湯川町財部589-1,               ,0738-24-1048   ,31,,25,1,2,　　　　　　,               ,
198,有限会社伊藤工務店                  ,ｲﾄｳｺｳﾑﾃﾝ,663-8177,兵庫県西宮市甲子園7番町22-31,               ,               ,31,,31,1,2,　　　　　　,               ,
199,株式会社アイセン                    ,ｱｲｾﾝ    ,642-0014,和歌山県海南市小野田258番地,               ,               ,31,,0,1,2,　　　　　　,               ,
200,和田電気工事                        ,ﾜﾀﾞﾃﾞﾝｷ ,649-6427,和歌山県紀ノ川市西井阪141-1,0736-77-5117   ,0736-77-5117   ,20,,20,1,2,　　　　　　,               ,
201,株式会社コイケ消防設備              ,ｺｲｹｼｮｳﾎﾞ,640-8274,和歌山県和歌山市金龍寺丁41,073-422-1300   ,073-422-0882   ,20,,20,1,2,　　　　　　,               ,
202,ルイージインズ株式会社              ,ﾙｲｰｼﾞｲﾝｽ,572-0051,大阪府寝屋川市高柳5-16-5,               ,               ,31,,0,1,2,木村様　　　,080-3498-7004  ,
203,紀州住機建設株式会社                ,ｷｼｭｳｼﾞｭｳ,640-8301,和歌山県和歌山市岩橋1632-1,073-472-7289   ,               ,31,,31,1,2,　　　　　　,               ,
204,株式会社山本商店                    ,ﾔﾏﾓﾄｼｮｳﾃ,641-0005,和歌山県和歌山市田尻183,073-473-4288   ,073-476-2665   ,20,,20,1,2,　　　　　　,               ,
206,　　桝谷                            ,ﾏｽﾀﾆ    ,        ,,               ,               ,31,,0,1,1,藤堂さん知人,               ,
207,ニッタン株式会社　和歌山営業所      ,ﾆｯﾀﾝ    ,640-8297,和歌山県和歌山市西河岸町41-5,073-428-0145   ,073-428-0146   ,31,,10,1,2,　　　　　　,               ,
209,窪田　正子                          ,ｸﾎﾞﾀﾏｻｺ ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
213,株式会社藤田水道                    ,ﾌｼﾞﾀｽｲﾄﾞ,594-0061,大阪府和泉市弥生町2丁目24番5号,0725-41-0486   ,0725-43-8033   ,20,,25,1,2,　　　　　　,               ,
215,リコージャパン株式会社              ,ﾘｺｰｼﾞｬﾊﾟ,640-8341,和歌山県和歌山市黒田39-2,               ,               ,20,,10,1,2,　　　　　　,               ,
216,サラ・ベルナーレ　守口店            ,ｻﾗﾍﾞﾙﾅｰﾚ,570-0041,大阪府守口市東郷通3-5-10,06-6996-3310   ,               ,31,,0,1,2,ドゥオペ　　,               ,
217,有限会社丸越建設                    ,ﾏﾙｺｼｹﾝｾﾂ,518-0127,三重県上野市山出1755-13,               ,               ,20,,20,1,2,　　　　　　,               ,
219,　　大仲                            ,ｵｵﾅｶｻﾏ  ,        ,,               ,               ,31,,0,1,1,大中歯科　　,               ,
220,帯伊書店                            ,ｵﾋﾞｲｼｮﾃﾝ,640-8024,和歌山市元寺町1-69,073-422-0441   ,               ,31,,0,1,2,　　　　　　,               ,
221,有限会社泰洋電機                    ,ﾀｲﾖｳﾃﾞﾝｷ,645-0001,和歌山県日高郡みなべ町東吉田78-3,0739-72-3636   ,0739-72-5408   ,20,,10,1,2,古居　　　　,080-6130-0266  ,
222,林水道                              ,ﾊﾔｼｽｲﾄﾞｳ,643-0853,和歌山県有田郡有田川町角106-1,0737-52-6076   ,0737-52-6868   ,31,,0,1,2,　　　　　　,               ,
223,浅野　由隆                          ,ｱｻﾉｻﾏ   ,640-8137,和歌山市吹上4-1-29,073-422-1525   ,               ,31,,0,1,1,伊勢設計　　,               ,
224,株式会社　駒場工務店                ,ｺﾏﾊﾞｺｳﾑﾃ,644-1122,日高郡日高川町大字高津尾1400,0738-54-0314   ,0738-54-0185   ,25,,20,1,2,　　　　　　,               ,
225,　　坂口                            ,ｻｶｸﾞﾁｻﾏ ,        ,,               ,               ,31,,0,1,1,伊勢設計　　,               ,
226,ＭＥＮＴＥ                          ,ﾒﾝﾃ     ,649-1213,日高郡日高町高家1143-1,0738-63-2632   ,               ,20,,20,1,2,　　　　　　,               ,
227,不二設備事務所                      ,ﾌｼﾞｾﾂﾋﾞ ,640-8258,和歌山市十二番丁82　ＡＲＥＡ伏虎302号,073-428-0381   ,090-3822-5866  ,20,,31,1,2,　　　　　　,               ,
228,　樫尾　昌宏                        ,ｶｼｵｻﾏ   ,640-0415,和歌山県紀の川市貴志川町長原133-2,               ,               ,31,,0,1,1,伊勢設計　　,               ,
229,六十谷第4自治会                     ,ﾑｿﾀｼﾞﾁｶｲ,        ,,               ,               ,31,,0,2,2,辻本様　　　,734614780,
231,株式会社ソーケン                    ,ｿｰｹﾝ    ,640-8106,和歌山県和歌山市三木町中ノ丁15,073-431-9075   ,               ,31,,0,1,2,　　　　　　,               ,
233,佐藤電機工業所                      ,ｻﾄｳﾃﾞﾝｷｺ,640-8125,和歌山県和歌山市島崎町5丁目1-4,073-424-7741   ,073-425-5365   ,31,,0,1,2,　　　　　　,               ,
237,株式会社キナン                      ,ｷﾅﾝ     ,641-0015,和歌山市布引710-2,073-447-0255   ,073-447-1718   ,20,,10,1,2,　　　　　　,               ,
243,サクセム株式会社                    ,ｻｸｾﾑ    ,649-6502,和歌山県紀の川市北長田字西小泉130,0736-79-3230   ,0736-73-5811   ,31,,0,1,2,　　　　　　,               ,
246,株式会社涼和                        ,ﾘｮｳﾜ    ,662-0914,兵庫県西宮市本町12-17_本町椿ビル1階,               ,               ,31,,0,1,2,　　　　　　,               ,
249,株式会社酒直                        ,ｻｶﾅｵ    ,640-8150,和歌山県和歌山市十三番丁30番地,073-431-1231   ,073-431-8028   ,0,,0,1,2,　　　　　　,               ,
252,ＯＤＡＩＪＩＮＩ鍼灸整骨院 _　北野田院,ｵﾀﾞｲｼﾞﾆ ,599-8126,大阪府堺市東区大美野6-17,072-320-0604   ,               ,31,,0,1,2,領収証　　　,               ,
255,幸太郎                              ,ｺｳﾀﾛｳ   ,        ,,               ,               ,20,,31,1,2,　　　　　　,               ,
256,南海化学株式会社                    ,ﾅﾝｶｲｶｶﾞｸ,641-0007,和歌山市小雑賀１丁目１番３８号,073-423-2291   ,073-436-6672   ,31,,31,1,2,　　　　　　,               ,
257,駒澤電気工事                        ,ｺﾏｻﾞﾜﾃﾞﾝ,649-7173,伊都郡かつらぎ町大谷863,0736-22-4856   ,0736-22-5519   ,20,,31,1,2,　　　　　　,               ,
258,　　　　　本多                      ,ﾎﾝﾀﾞ    ,        ,紀の川市貴志川町前田328,0736-64-9191   ,               ,20,,31,1,1,　　　　　　,               ,
259,アサカワリフォーム株式会社          ,ｱｻｶﾜﾘﾌｫｰ,640-8551,和歌山市小松原通３丁目６９番地,073-426-2561   ,073-426-2530   ,31,5,5,1,2,　　　　　　,               ,
261,穴蔵                                ,ｱﾅｸﾞﾗ   ,640-8376,和歌山市新中通2-38,073-424-4700   ,               ,20,,31,1,2,　　　　　　,               ,
262,平井電気                            ,ﾋﾗｲﾊﾟﾊﾟ ,599-8127,大阪府堺市東区草尾1188,090-3282-6629  ,               ,31,,0,1,2,　　　　　　,               ,
263,本渡東自治会                        ,ﾓﾄﾜﾀﾘﾋｶﾞ,        ,,               ,               ,31,,31,1,2,　　　　　　,               ,
264,紀南電設株式会社                    ,ｷﾅﾝﾃﾞﾝｾﾂ,644-0012,御坊市湯川町小松原字瀬崎坪613-2,0738-22-8211   ,0738-22-8214   ,31,,15,1,2,　　　　　　,               ,
265,朱ビル                              ,ｼｭﾋﾞﾙ   ,642-0032,海南市名高534-1,073-483-6794   ,               ,20,,10,2,2,カンヌ海南と,               ,
266,興紀防災設備                        ,ｺｳｷﾎﾞｳｻｲ,599-8114,堺市東区日置荘西町２丁２０番1,072-286-1601   ,               ,31,,31,1,2,　　　　　　,               ,
267,ハタガワ設備                        ,ﾊﾀｶﾞﾜｾﾂﾋ,640-0413,紀の川市貴志川町神戸862-8,0736-64-1466   ,0736-64-6366   ,31,,0,1,2,　　　　　　,               ,
269,株式会社　ハナノ                    ,ﾊﾅﾉ     ,640-8343,和歌山市吉田359,073-433-0337   ,               ,20,,5,2,2,　　　　　　,               ,
270,モンシェリーハナノ                  ,ﾓﾝｼｪﾘｰﾊﾅ,640-8343,和歌山市吉田359番地,               ,               ,20,,31,1,2,　　　　　　,               ,
271,株式会社田中建設                    ,ﾀﾅｶｹﾝｾﾂ ,643-0801,和歌山県有田郡有田川町徳田329,               ,               ,31,,13,1,2,　　　　　　,               ,
272,　　山中                            ,ﾔﾏﾅｶ    ,        ,,               ,               ,31,,31,1,1,　　　　　　,               ,
279,オリエントホームズ株式会社          ,ｵﾘｴﾝﾄﾎｰﾑ,641-0002,和歌山県和歌山市新中島152-6,073-475-1000   ,073-475-1010   ,20,,10,1,2,　　　　　　,               ,
280,中筋電気商会                        ,ﾅｶｽｼﾞ   ,640-8025,和歌山市中ノ店中ノ丁36,073-422-4607   ,073-432-1618   ,20,,10,1,2,　　　　　　,               ,
281,有限会社　はなぶさ                  ,ﾊﾅﾌﾞｻ   ,641-0002,和歌山市新中島67-1,073-473-3201   ,               ,20,,10,1,2,　　　　　　,               ,
283,株式会社　鳴良商会                  ,ﾅﾙﾖｼｼｮｳｶ,640-8392,和歌山市中之島２２８８,073-432-6688   ,               ,31,,10,2,2,　　　　　　,               ,
284,株式会社杉本興業                    ,ｽｷﾞﾓﾄｺｳｷ,649-6275,和歌山市吐前908,073-477-7157   ,073-454-7167   ,31,,31,1,2,　　　　　　,               ,
285,中紀住設                            ,ﾁｭｳｷｼﾞｭｳ,        ,和歌山県有田郡有田川町天満66-3,0737-52-5367   ,               ,20,,31,1,2,　　　　　　,               ,
286,株式会社アルノコーポレーション      ,ｱﾙﾉｺｰﾎﾟﾚ,640-8327,和歌山県和歌山市橋向丁32番地,073-423-8707   ,073-423-8708   ,20,,10,1,2,　　　　　　,               ,
287,ヘルパーステーション内原            ,ﾍﾙﾊﾟｰｽﾃｰ,641-0014,和歌山市毛見１６８－７,073-448-1206   ,               ,20,,20,1,2,　　　　　　,               ,
288,竹田食品株式会社                    ,ﾀｹﾀﾞｼｮｸﾋ,640-8314,和歌山市神前343,073-471-0084   ,073-471-6768   ,20,,10,2,2,　　　　　　,               ,
289,谷口電気工事                        ,ﾀﾆｸﾞﾁﾃﾞﾝ,649-6321,和歌山県和歌山市布施屋819-19,073-477-6624   ,               ,31,,0,1,2,　　　　　　,               ,
290,ファーストⅡ                        ,ﾌｧｰｽﾄ   ,640-8301,和歌山市岩橋981-1,073-475-3715   ,               ,31,,25,1,2,　　　　　　,               ,
291,株式会社　ドゥ・オペレーション      ,ﾄﾞｩｵﾍﾟﾚｰ,577-0055,大阪府東大阪市長栄寺2-12_Tsunagaruビルディング303号,06-6720-8750   ,06-6720-8751   ,31,,31,1,2,林　　　　　,               ,
292,中谷電気工事株式会社                ,ﾅｶﾀﾆﾃﾞﾝｷ,649-7113,伊都郡かつらぎ町妙寺126-36,0736-22-7777   ,               ,20,25,15,1,2,　　　　　　,               ,
298,株式会社第一テック                  ,ﾀﾞｲｲﾁﾃｯｸ,646-0051,和歌山県田辺市稲成町336-1,0739-26-2300   ,0739-26-6363   ,15,,15,1,2,　　　　　　,               ,
299,　　　井口                          ,ｲｸﾞﾁｵﾔ  ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
300,ドンキー                            ,ﾄﾞﾝｷｰ   ,        ,,               ,               ,20,,20,1,1,　　　　　　,               ,
301,株式会社　小池組                    ,ｺｲｹｸﾞﾐ  ,640-8154,和歌山市六番丁26番地,073-422-2165   ,073-422-5670   ,20,,20,2,2,　　　　　　,               ,
302,ひらい電設                          ,ﾋﾗｲﾃﾞﾝｷ ,        ,和歌山市杭ノ瀬255-16,               ,               ,20,,10,1,2,　　　　　　,               ,
304,ワールドハシモト                    ,ﾜｰﾙﾄﾞﾊｼﾓ,        ,橋本市隅田町河瀬429,               ,               ,20,,10,1,2,　　　　　　,               ,
305,梅本                                ,ｳﾒﾓﾄ    ,        ,,               ,               ,31,,10,2,2,　　　　　　,               ,
308,(有)千本電気工事                    ,ﾁﾓﾄﾃﾞﾝｷ ,641-0006,和歌山市中島497-16,073-472-9695   ,               ,20,,10,1,2,　　　　　　,               ,
309,社会福祉法人天気会 _　ながた尚老苑,ﾅｶﾞﾀｼｮｳﾛ,577-0015,大阪府東大阪市長田1丁目2番11号,06-4307-6533   ,               ,31,,0,1,2,　　　　　　,               ,
311,メイク広告                          ,ﾒｲｸｺｳｺｸ ,640-8443,和歌山市延時62番地,073-455-1072   ,073-455-1131   ,20,,10,1,2,　　　　　　,               ,
314,和歌山市長　尾花　正啓              ,ﾜｶﾔﾏｼ   ,        ,,               ,               ,31,,10,1,1,　　　　　　,               ,
315,グループホーム草原                  ,ｿｳｹﾞﾝ   ,641-0005,和歌山県和歌山市田尻153-5,               ,               ,20,,10,1,2,ヒロハラ　　,               ,
316,梶原　和成                          ,ｶｼﾞﾊﾗ   ,        ,和歌山県有田郡広川町井関653-1,               ,               ,20,,10,1,1,　　　　　　,               ,
317,株式会社たけでん _和歌山営業所,ﾀｹﾃﾞﾝﾜｶ ,640-8323,和歌山市太田3-7-22,073-472-2353   ,073-476-5670   ,31,,31,1,2,　　　　　　,               ,124
318,浜地１級建築設計事務所              ,ﾊﾏﾁｹﾝﾁｸｾ,643-0304,和歌山県有田市箕島735-1,0737-83-1224   ,0737-83-1272   ,31,,0,1,2,　　　　　　,               ,
320,明光電機株式会社                    ,ﾒｲｺｳﾃﾞﾝｷ,        ,和歌山市五番丁23,073-424-2274   ,               ,31,,15,1,2,　　　　　　,               ,
321,木村内科医院                        ,ｷﾑﾗﾅｲｶ  ,640-8313,和歌山市神前125-3,073-474-1678   ,               ,20,,10,2,2,　　　　　　,               ,
322,ＳＳ電気設備                        ,ｴｽｴｽﾃﾞﾝｷ,640-8303,和歌山市鳴神82-3302,073-473-6427   ,               ,20,,10,1,2,　　　　　　,               ,
323,有限会社　榎原電機工業              ,ｴﾉﾊﾗﾃﾞﾝｷ,        ,和歌山市毛見228番地の26,               ,               ,20,,10,1,2,　　　　　　,               ,
325,南出建設株式会社                    ,ﾐﾅﾐﾃﾞｹﾝｾ,649-6321,和歌山市布施屋528,073-477-0040   ,073-477-0920   ,20,,10,1,2,　　　　　　,               ,
326,株式会社サイワテック                ,ｻｲﾜﾃｯｸ  ,594-0004,和泉市王子町1丁目3-29,0725-45-3100   ,0725-46-3100   ,31,,31,1,2,　　　　　　,               ,
332,村上クリニック                      ,ﾑﾗｶﾐｸﾘﾆｯ,644-1122,和歌山県日高郡日高川町高津尾38,0738-54-0787   ,               ,31,,31,1,2,　　　　　　,               ,
333,久米　和義                          ,ｸﾒ      ,594-0013,和泉市鶴山台4-19-8,               ,               ,31,,10,1,1,　　　　　　,               ,
335,和歌山市消防団中方面隊              ,ﾜｶﾔﾏｼｼｮｳ,        ,,               ,               ,31,,10,2,2,　　　　　　,               ,
336,大橋                                ,ｵｵﾊｼ    ,        ,,               ,               ,20,,10,2,1,　　　　　　,               ,
337,前田                                ,ﾏｴﾀﾞ    ,        ,,               ,               ,25,,10,1,1,　　　　　　,               ,
338,Wakanoura Nature Resort _　ＥＰＩＣＨＡＲＩＳ,ｴﾋﾟｶﾘｽ  ,641-0023,和歌山県和歌山市新和歌浦2-4,073-447-0001   ,073-447-0002   ,31,,0,1,2,　　　　　　,               ,
340,和歌山県立和歌山高等学校            ,ﾜｶﾔﾏｺｳｺｳ,649-6264,和歌山市新庄188,073-477-3933   ,073-477-4928   ,20,,10,1,2,　　　　　　,               ,
342,　　埼山                            ,ｻｷﾔﾏ    ,        ,,               ,               ,31,,10,1,1,　　　　　　,               ,
343,株式会社ウエブリーディング          ,ｳｪﾌﾞﾘｰﾃﾞ,635-0044,奈良県大和高田市藤之宮町10-28,0745-24-5655   ,0745-22-5363   ,31,,31,1,2,　　　　　　,               ,
344,株式会社遠藤照明 _　大阪支店,ｴﾝﾄﾞｳｼｮｳ,541-0053,大阪府大阪市中央区本町1-6-19,06-6267-7011   ,06-6267-7012   ,31,,0,1,2,　　　　　　,               ,
345,池田電気工事                        ,ｲｹﾀﾞ    ,640-8471,和歌山市善明寺227-22,073-453-5345   ,               ,20,,31,1,2,　　　　　　,090-3285-9129  ,
346,禰宜自治会                          ,ﾈｷﾞｼﾞﾁｶｲ,        ,,               ,               ,31,,10,2,2,　　　　　　,               ,
347,高栄アパート                        ,ｺｳｴｲｱﾊﾟｰ,        ,,               ,               ,31,,10,1,2,　　　　　　,               ,
348,株式会社　進藤建設                  ,ｼﾝﾄﾞｳｹﾝｾ,640-8482,_和歌山市六十谷71番地の6,073-461-3132   ,073-461-2606   ,25,,10,2,2,　　　　　　,               ,
349,木原産業株式会社                    ,ｷﾊﾗｻﾝｷﾞｮ,640-8158,和歌山市十二番丁１８番地,073-422-4405   ,               ,31,,10,1,2,　　　　　　,               ,
353,株式会社西岡酒店                    ,ﾆｼｵｶｻｹﾃﾝ,        ,橋本市隅田町河瀬429,0736-32-1351   ,0736-33-0677   ,20,,31,1,2,土井様　　　,               ,
354,松本電気工事                        ,ﾏﾂﾓﾄﾃﾞﾝｷ,643-0142,和歌山県有田郡有田川町小川13-1,0737-32-2690   ,0737-32-3888   ,20,,0,1,2,松本　　　　,9089819716,
355,ヒウラ                              ,ﾋｳﾗ     ,        ,海南市多田58-1,073-483-1883   ,073-482-3945   ,20,,10,2,2,　　　　　　,               ,
356,得津環境設備計画                    ,ﾄｸﾂ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,               ,
357,有限会社フラッグ                    ,ﾌﾗｯｸﾞ   ,640-8341,和歌山市黒田88-3　富商ビル2F,073-474-4025   ,073-474-4022   ,20,,10,1,2,　　　　　　,               ,
358,島田電設                            ,ｼﾏﾀﾞﾃﾞﾝｾ,644-032 ,御坊市岩内字京保939-1,0738-24-1537   ,               ,20,,10,1,2,　　　　　　,               ,
359,埼山                                ,ｻｷﾔﾏﾊﾙｷ ,        ,,               ,               ,20,,10,1,1,　　　　　　,               ,
360,大浦建設株式会社                    ,ｵｵｳﾗｹﾝｾﾂ,649-6332,和歌山市宇田森296番地1,073-461-6377   ,073-462-1866   ,31,5,25,2,2,５日までに　,               ,
361,吉川                                ,ﾖｼｶﾜ    ,        ,,               ,               ,20,,10,1,1,　　　　　　,               ,
362,有限会社金橋産業                    ,ｶﾈﾊｼｻﾝｷﾞ,552-0002,大阪市港区市岡元町2丁目1-6-1003号,06-6584-1779   ,06-6584-1779   ,31,,10,1,2,　　　　　　,               ,
363,ＩＳＥ設計工房                      ,ｲｾｾｯｹｲ  ,640-8392,和歌山県和歌山市中之島1528,073-424-7772   ,073-414-8392   ,31,,31,2,2,　　　　　　,               ,
364,有限会社　岸本                      ,ｷｼﾓﾄ    ,597-0101,大阪府貝塚市三ヶ山1806,090-9045-1446  ,               ,20,,10,1,2,　　　　　　,               ,
365,菱紀塗装工業株式会社                ,ﾘｮｳｷﾄｿｳ ,640-8301,和歌山市岩橋633-1,               ,073-473-9311   ,20,,10,1,2,佐藤　　　　,               ,
366,寺谷　よしの                        ,ﾃﾗﾀﾆ    ,        ,,               ,               ,20,,10,2,2,　　　　　　,               ,
367,有限会社　有田ﾒﾃﾞｨｶﾙｻｰﾋﾞｽｾﾝﾀｰ       ,ｱﾘﾀﾞﾒﾃﾞｨ,643-0166,有田郡有田川町吉原907-2,               ,               ,20,,10,1,2,　　　　　　,               ,
368,粉川                                ,ｺｶﾜ     ,        ,,               ,               ,20,,10,2,2,　　　　　　,               ,
371,大畑　友治                          ,ｵｵﾊﾀ    ,640-0341,和歌山市相坂112-1,073-479-1403   ,               ,20,,10,1,2,　　　　　　,               ,
372,株式会社吉村塗装工業所              ,ﾖｼﾑﾗﾄｿｳ ,571-0015,門真市三ッ島670-1,090-4656-7950  ,               ,20,,10,1,2,管理会社松山,072-870-2202   ,
373,和田興業                            ,ﾜﾀﾞ     ,        ,,               ,073-474-5555   ,31,,31,2,1,　　　　　　,               ,
374,平林電気工業所                      ,ﾋﾗﾊﾞﾔｼﾃﾞ,642-0022,海南市大野中498,073-482-3710   ,073-482-3710   ,20,,10,1,2,自宅ＦＡＸ　,073-483-3961   ,
375,住宅福祉総合ケアセンター _中紀クリニック,ｱｶﾞﾗﾊﾅﾏﾙ,649-1342,御坊市藤田町吉田324番地1,0738-24-0503   ,0738-23-5845   ,20,,20,1,2,二宮　　　　,080-3115-5567  ,
376,法蔵寺                              ,ﾎｳｿﾞｳｼﾞ ,        ,有田郡広川町上中野1181,0737-62-2686   ,               ,31,,31,1,2,　　　　　　,               ,
378,積水ハウス不動産関西株式会社 _　消防設備点検,ｾｷﾜ     ,640-8323,和歌山市太田4-5-5　野上ビル　4階,073-473-8230   ,073-473-8807   ,20,,10,1,2,　　　　　　,               ,
379,株式会社エリアテック                ,ｴﾘｱﾃｯｸ  ,532-0031,大阪市淀川区加島3丁目1番22号,06-6829-6615   ,06-6829-6969   ,25,,25,1,2,　　　　　　,               ,
381,リビングショップ和歌山有限会社      ,ﾘﾋﾞﾝｸﾞｼｮ,640-8033,和歌山県和歌山市本町２丁目１番地_フォルテワジマ２階,073-421-8555   ,073-421-8878   ,31,,0,1,2,　　　　　　,               ,
384,一橋庵                              ,ｲｯｷｮｱﾝ  ,640-8158,和歌山市十二番丁33,073-422-3038   ,073-432-2444   ,20,,10,1,2,　　　　　　,               ,
385,ホーチキサービス株式会社            ,ﾎｰﾁｷｻｰﾋﾞ,550-0002,大阪市西区江戸掘2丁目3番21号,06-6444-2220   ,06-6444-2228   ,20,,20,1,2,　　　　　　,               ,
389,和歌山商工会議所                    ,ﾜｶﾔﾏｼｮｳｺ,640-8567,和歌山市西汀丁36番地,073-422-1111   ,073-433-0543   ,20,,10,1,2,谷口様　　　,               ,
390,　　柏木                            ,ｶｼﾜｷﾞ   ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
391,　　岡本                            ,ｵｶﾓﾄ    ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
392,有限会社ジェイイーエス              ,ｼﾞｪｲｲｰｴｽ,641-0006,和歌山県和歌山市中島526番地101号,073-488-6421   ,               ,31,,31,1,2,　　　　　　,               ,
393,米田電気設備                        ,ｺﾒﾀﾞﾃﾞﾝｷ,635-0817,奈良県北葛城郡広陵町寺戸438-1　103号,0745-27-7014   ,0745-27-7014   ,31,,0,1,2,米田　　　　,090-7763-6325  ,
394,社団法人　日本写真家協会            ,ﾆﾎﾝｼｬｼﾝｶ,640-8342,和歌山市友田町2-86,073-432-7254   ,073-431-5066   ,20,,10,1,2,　　　　　　,               ,
396,大和リビング株式会社　和歌山営業所  ,ﾀﾞｲﾜ    ,640-8323,和歌山市太田1丁目13-15_オフィスイーストビル1階,073-472-8502   ,               ,31,1,15,1,2,　　　　　　,               ,
397,株式会社マキカンパニー              ,ﾏｷｶﾝﾊﾟﾆｰ,640-8306,和歌山県和歌山市出島38-1,073-488-5906   ,073-488-5907   ,31,,0,1,2,　　　　　　,               ,
