売上№,売上日,行№,品名,単位,数量,単価,金額,備考,得意先ｺｰﾄﾞ
88677,2021/6/20,205,エクセレンス六十谷Ⅱ                   ,式　,1,770,770,                   ,378
88677,2021/6/20,206,ガーデンハイツ湯浅                     ,式　,1,770,770,                   ,378
88677,2021/6/20,207,ルミエール湊                           ,式　,1,770,770,                   ,378
88677,2021/6/20,208,シャーメゾン紀峰                       ,式　,1,770,770,                   ,378
88677,2021/6/20,209,グランメール福島                       ,式　,1,770,770,                   ,378
88677,2021/6/20,210,パールハイツ箕島                       ,式　,1,693,693,                   ,378
88677,2021/6/20,211,ワイズヴィラ                           ,式　,1,550,550,                   ,378
88677,2021/6/20,212,フォーレス・ノベル                     ,式　,1,770,770,                   ,378
88677,2021/6/20,213,藤栄ハイツ                             ,式　,1,693,693,                   ,378
88677,2021/6/20,214,ラ・サルデーヌⅡ                       ,式　,1,495,495,                   ,378
88677,2021/6/20,215,メゾン・ルテシィア                     ,式　,1,495,495,                   ,378
88677,2021/6/20,216,シャーメゾン下津                       ,式　,1,693,693,                   ,378
88677,2021/6/20,217,シャーメゾンくすの木                   ,式　,1,1980,1980,                   ,378
88677,2021/6/20,218,シャーメゾン笠松                       ,式　,1,770,770,                   ,378
88677,2021/6/20,219,パークハイツ                           ,式　,1,495,495,                   ,378
88677,2021/6/20,220,サニーハイツ向島                       ,式　,1,495,495,                   ,378
88677,2021/6/20,221,リバーサイド湯浅                       ,式　,1,770,770,                   ,378
88677,2021/6/20,222,ラガール湯浅                           ,式　,1,495,495,                   ,378
88677,2021/6/20,223,五月ハイツ                             ,式　,1,1386,1386,                   ,378
88677,2021/6/20,224,アン・セリジェ                         ,式　,1,770,770,                   ,378
88677,2021/6/20,225,ブランシェ前田                         ,式　,1,770,770,                   ,378
88677,2021/6/20,226,シャーメゾン青木                       ,式　,1,770,770,                   ,378
88677,2021/6/20,227,フォーナス                             ,式　,1,968,968,                   ,378
88677,2021/6/20,228,パレスデュオ・照（テラス）             ,式　,1,770,770,                   ,378
88677,2021/6/20,229,シャーメゾンハーヴェスト               ,式　,1,770,770,                   ,378
88677,2021/6/20,230,クレール松ヶ丘                         ,式　,1,495,495,                   ,378
88677,2021/6/20,231,クレール                               ,式　,1,770,770,                   ,378
88677,2021/6/20,232,アン・セリジェ　Ⅱ                     ,式　,1,495,495,                   ,378
88677,2021/6/20,233,フレグランス二里ヶ浜                   ,式　,1,770,770,                   ,378
88677,2021/6/20,234,アベニール                             ,式　,1,770,770,                   ,378
88677,2021/6/20,235,ディアス赤坂                           ,式　,1,770,770,                   ,378
88677,2021/6/20,236,カサ・フィオーレＦＧ                   ,式　,1,770,770,                   ,378
88677,2021/6/20,237,シャーメゾン安上                       ,式　,1,968,968,                   ,378
88677,2021/6/20,238,フローラ                               ,式　,1,770,770,                   ,378
88677,2021/6/20,239,ワイズコート                           ,式　,1,495,495,                   ,378
88677,2021/6/20,240,シャーメゾン西高松                     ,式　,1,495,495,                   ,378
88677,2021/6/20,241,シャーメゾン木ノ本                     ,式　,1,693,693,                   ,378
88677,2021/6/20,242,ブランシェＳ                           ,式　,1,693,693,                   ,378
88677,2021/6/20,243,ディアスＡＫＩＨＯ                     ,式　,1,693,693,                   ,378
88677,2021/6/20,244,シャンブルＭ                           ,式　,1,968,968,                   ,378
88677,2021/6/20,245,シャーメゾン幸輝                       ,式　,1,1166,1166,                   ,378
88677,2021/6/20,246,ボナール千且                           ,式　,1,770,770,                   ,378
88677,2021/6/20,247,イマージュ浜の宮                       ,式　,1,495,495,                   ,378
88677,2021/6/20,248,ヴィラ天神崎                           ,式　,1,935,935,                   ,378
88677,2021/6/20,249,シャーメゾンフクイ                     ,式　,1,495,495,                   ,378
88677,2021/6/20,250,アヴェンヌ太田                         ,式　,1,1122,1122,                   ,378
88677,2021/6/20,251,メゾネット松島                         ,式　,1,495,495,                   ,378
88677,2021/6/20,252,シャーメゾン今福                       ,式　,1,495,495,                   ,378
88677,2021/6/20,253,イマージュ浜の宮Ⅱ                     ,式　,1,693,693,                   ,378
88677,2021/6/20,254,シャーメゾン元町奉行                   ,式　,1,220,220,                   ,378
88677,2021/6/20,255,シャーメゾン松ヶ丘                     ,式　,1,220,220,                   ,378
88677,2021/6/20,256,シャーメゾン西浜Ａ                     ,式　,1,693,693,                   ,378
88677,2021/6/20,257,和歌浦ガーデンテラス                   ,式　,1,1320,1320,                   ,378
88677,2021/6/20,258,シャーメゾン彩都Ａ                     ,式　,1,693,693,                   ,378
88677,2021/6/20,259,シャーメゾンロイヤルヒルズⅠ           ,式　,1,495,495,                   ,378
88677,2021/6/20,260,シャーメゾン下津野                     ,式　,1,1166,1166,                   ,378
88698,2021/6/20,1,照明器具取替工事                       ,　　,     ,        ,         ,                   ,556
88698,2021/6/20,2,NNFK30513J　天井埋込型LEDライト        ,台　,1,4000,4000,                   ,556
88698,2021/6/20,3,NNFK25013　天井埋込型LEDライト         ,台　,2,3000,6000,                   ,556
88698,2021/6/20,4,AD1031W50　LED防雨防湿ダウンライト     ,台　,1,6000,6000,                   ,556
88698,2021/6/20,5,DWP40868Y　LED屋外ブラケット           ,台　,2,12000,24000,                   ,556
88698,2021/6/20,6,AD1031W27　LED防雨防湿ダウンライト     ,台　,6,6000,36000,                   ,556
88698,2021/6/20,7,OD361341LDR　LEDダウンライト           ,台　,1,4000,4000,                   ,556
88698,2021/6/20,8,同上付属品                             ,式　,1,7000,7000,                   ,556
88698,2021/6/20,9,取替費                                 ,式　,1,100000,100000,                   ,556
88698,2021/6/20,10,消耗品雑材費                           ,式　,1,5000,5000,                   ,556
88698,2021/6/20,11,諸経費                                 ,式　,1,10000,10000,                   ,556
88725,2021/6/20,1,建築設備定期点検                       ,　　,     ,        ,         ,                   ,814
88725,2021/6/20,2,つむぐリカバリーナーシングホーム(1設備),式　,1,60000,60000,11月10日,814
88725,2021/6/20,3,さくらの丘安心ハウス岸和田（1設備）    ,式　,1,60000,60000,〃                 ,814
88725,2021/6/20,4,喜平久米田（1設備）                    ,式　,1,60000,60000,〃                 ,814
88725,2021/6/20,5,喜平和気（1設備）                      ,式　,1,60000,60000,〃                 ,814
88725,2021/6/20,6,ロイヤル・ライフ河内の郷（2設備）      ,式　,1,80000,80000,11月11日,814
88725,2021/6/20,7,ロイヤルライフ信照の郷（1設備）        ,式　,1,60000,60000,〃                 ,814
88725,2021/6/20,8,ベストライフ和泉中央（2設備）          ,式　,1,80000,80000,〃                 ,814
88725,2021/6/20,9,サービス付高齢者向け住宅しののめ(1設備),式　,1,60000,60000,11月18日,814
88725,2021/6/20,10,アルファケア岸和田（1設備）            ,式　,1,60000,60000,〃                 ,814
88725,2021/6/20,11,和泉寺田の郷（2設備）                  ,式　,1,80000,80000,〃                 ,814
88725,2021/6/20,12,<仮称>パナソニックAFH大阪野江(1設備)   ,式　,1,60000,60000,11/20書類          ,814
88725,2021/6/20,13,アルファケア阪南（1設備）              ,式　,1,60000,60000,2月1日,814
88725,2021/6/20,14,グループホームアムール岸和田（2設備）  ,式　,1,80000,80000,〃                 ,814
88725,2021/6/20,15,リーブル岸和田アネックス（2設備）      ,式　,1,80000,80000,〃                 ,814
88725,2021/6/20,16,ライフガーデンいずみ(1設備)            ,式　,1,60000,60000,2月5日,814
88725,2021/6/20,17,〃　　　(防火設備点検)                 ,式　,1,78000,78000,〃                 ,814
88725,2021/6/20,18,エクセレンス花水木二色の浜（1設備）    ,式　,1,60000,60000,3月25日,814
88725,2021/6/20,19,サービス付高齢者向住宅のばな（1設備）  ,式　,1,60000,60000,4月2日,814
88725,2021/6/20,20,ベストライフ岸和田（2設備）            ,式　,1,80000,80000,〃                 ,814
88725,2021/6/20,21,リーブル忠岡（1設備）                  ,式　,1,60000,60000,4月2日,814
88704,2021/6/20,1,牧尾様邸                               ,　　,     ,        ,         ,                   ,881
88704,2021/6/20,2,居宅　電気設備工事                     ,式　,1,650000,650000,                   ,881
88704,2021/6/20,3,〃　　空調設備工事                     ,式　,1,55000,55000,                   ,881
88704,2021/6/20,4,1階テナント　電気設備工事              ,式　,1,650000,650000,                   ,881
88704,2021/6/20,5,〃　 　　　　空調設備工事              ,式　,1,240000,240000,                   ,881
88679,2021/6/20,1,恵光院                                 ,　　,     ,        ,         ,                   ,1088
88679,2021/6/20,2,消防設備保守点検（総合点検）           ,式　,1,270000,270000,3/1・3/2           ,1088
88679,2021/6/20,3,建築設備検査及び防火設備検査           ,式　,1,200000,200000,3/2・4/8           ,1088
88688,2021/6/19,1,砂山パークハイツ　403号室              ,　　,     ,        ,         ,                   ,45
88688,2021/6/19,2,住警器(取付費込)                       ,台　,2,3000,6000,6月19日,45
88856,2021/6/19,1,株式会社アイセン様                     ,　　,     ,        ,         ,                   ,199
88856,2021/6/19,2,本社　加圧ポンプユニット取替工事       ,式　,1,744000,744000,                   ,199
88707,2021/6/18,1,パルビル                               ,　　,     ,        ,         ,                   ,48
88707,2021/6/18,2,6月18日,　　,     ,        ,         ,                   ,48
88707,2021/6/18,3,防犯カメラ取付工事                     ,式　,1,20000,20000,                   ,48
88809,2021/6/18,1,法専寺　自動水栓電源工事               ,　　,     ,        ,         ,                   ,60
88809,2021/6/18,2,材料費                                 ,式　,1,20000,20000,6/16･6/18          ,60
88809,2021/6/18,3,工事費                                 ,式　,1,30000,30000,〃                 ,60
88773,2021/6/18,1,メイプルパークスクエア東2番街　211号室 ,　　,     ,        ,         ,                   ,262
88773,2021/6/18,2,感知器移設工事                         ,式　,1,10000,10000,6月18日,262
88753,2021/6/18,1,セーフティ・キーパー取付工事           ,式　,1,68500,68500,6月18日,732
88756,2021/6/18,1,八幡台小学校外1校給食調理室空調設置工事,　　,     ,        ,         ,                   ,1075
88756,2021/6/18,2,電気工事                               ,式　,1,1200000,1200000,6/18消検           ,1075
88754,2021/6/17,1,藤田様邸                               ,　　,     ,        ,         ,                   ,1055
88754,2021/6/17,2,トイレ配線器具取替工事                 ,式　,1,14000,14000,6月17日,1055
88678,2021/6/16,1,ｻｰﾋﾞｽ付き高齢者向け住宅あしあとゆるり  ,　　,     ,        ,         ,                   ,152
88678,2021/6/16,2,自動火災報知設備工事                   ,式　,1,1100000,1100000,6/16消検           ,152
88678,2021/6/16,3,スプリンクラー設備工事                 ,式　,1,3350000,3350000,〃                 ,152
88678,2021/6/16,4,消防手続立会試験費及び消火器           ,式　,1,50000,50000,〃                 ,152
88820,2021/6/16,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,578
88820,2021/6/16,2,ＪＡ牧野農産物直売所（総合点検）       ,式　,1,10000,10000,6月16日,578
88737,2021/6/16,1,123+N羽曳野店                          ,　　,     ,        ,         ,                   ,751
88737,2021/6/16,2,消防設備工事                           ,式　,1,820000,820000,5/31～6/16         ,751
88737,2021/6/16,3,消火設備工事                           ,式　,1,2100000,2100000,〃                 ,751
88827,2021/6/16,1,消防設備保守点検（総合点検）           ,式　,1,80000,80000,6月16日,844
88743,2021/6/15,1,イオンモールりんくう泉南               ,　　,     ,        ,         ,                   ,15
88743,2021/6/15,2,190区画　新店防災B工事                 ,式　,1,2070000,2070000,5/14～6/15         ,15
88671,2021/6/15,1,千日前テナントビル                     ,　　,     ,        ,         ,                   ,131
88671,2021/6/15,2,消防手続及び消火器納品                 ,式　,1,68000,68000,                   ,131
88673,2021/6/15,1,家電住まいるYAMADA熊本春日店           ,　　,     ,        ,         ,                   ,634
88673,2021/6/15,2,消防設備工事                           ,式　,1,14000000,14000000,5/20消検           ,634
88675,2021/6/15,1,テックランド高知店                     ,　　,     ,        ,         ,                   ,634
88675,2021/6/15,2,電気設備工事(交通費及び宿泊費含む)     ,式　,1,100000,100000,                   ,634
88675,2021/6/15,3,                                       ,　　,     ,        ,         ,                   ,634
88675,2021/6/15,4,トイレブース工事                       ,　　,     ,        ,         ,                   ,634
88675,2021/6/15,5,タイル工事(3箇所･パサ仕様/材工共)      ,式　,1,69000,69000,                   ,634
88675,2021/6/15,6,ブース建具入れ替え(2箇所)              ,式　,1,44000,44000,                   ,634
88675,2021/6/15,7,表示付きスライドラッチ                 ,個　,3,3500,10500,                   ,634
88675,2021/6/15,8,消耗品                                 ,式　,1,3400,3400,                   ,634
88675,2021/6/15,9,交通費(片道ガソリン代込￥15000)        ,台　,2,30000,60000,                   ,634
88774,2021/6/14,1,済生会和歌山病院                       ,　　,     ,        ,         ,                   ,616
88774,2021/6/14,2,感知器及びスピーカー撤去及び取付工事   ,式　,1,100000,100000,4/2～6/14          ,616
88774,2021/6/14,3,スプリンクラーヘッド撤去及び取付工事   ,式　,1,150000,150000,〃                 ,616
88774,2021/6/14,4,諸経費                                 ,式　,1,25000,25000,〃                 ,616
88705,2021/6/11,1,オリエントホームズ様　事務所           ,　　,     ,        ,         ,                   ,279
88705,2021/6/11,2,照明器具取替工事                       ,式　,1,18000,18000,6月11日,279
88778,2021/6/11,1,有限会社畑野化成研究所様               ,　　,     ,        ,         ,                   ,1009
88778,2021/6/11,2,シャワーブース水道工事                 ,　　,     ,        ,         ,                   ,1009
88778,2021/6/11,3,HIVP20　耐衝撃性硬質ポリ塩化ビニル管   ,本　,1,880,880,6月11日,1009
88778,2021/6/11,4,ポリブデンパイプ                       ,ｍ　,16,650,10400,〃                 ,1009
88778,2021/6/11,5,シャワー水栓                           ,台　,1,12500,12500,〃                 ,1009
88778,2021/6/11,6,同上付属品                             ,式　,1,20000,20000,〃                 ,1009
88778,2021/6/11,7,配管工事費                             ,式　,1,30000,30000,〃                 ,1009
88778,2021/6/11,8,消耗品雑材費                           ,式　,1,5000,5000,〃                 ,1009
88778,2021/6/11,9,諸経費                                 ,式　,1,7220,7220,〃                 ,1009
88741,2021/6/9,1,イオンモールりんくう泉南               ,　　,     ,        ,         ,                   ,15
88741,2021/6/9,2,274区画　新店防災B工事                 ,式　,1,2700000,2700000,5/14～6/9          ,15
88741,2021/6/9,3,〃 　　　新店防災B追加移設作業         ,式　,1,133650,133650,6月9日,15
88686,2021/6/9,1,白元アース                             ,　　,     ,        ,         ,                   ,38
88686,2021/6/9,2,消防設備保守点検に伴う不備改修工事     ,式　,1,430000,430000,6月9日,38
88668,2021/6/9,1,NEXT扇町店                             ,　　,     ,        ,         ,                   ,652
88668,2021/6/9,2,自動火災報知設備工事                   ,式　,1,687500,687500,6/4消検            ,652
88669,2021/6/9,1,貝塚市南町グループホーム新築工事       ,　　,     ,        ,         ,                   ,652
88669,2021/6/9,2,消防設備工事                           ,式　,1,1535000,1535000,6/8消検            ,652
88696,2021/6/7,1,グリーンヒル御坊アネックス             ,　　,     ,        ,         ,                   ,36
88696,2021/6/7,2,消防設備保守点検に伴う改修工事         ,式　,1,79000,79000,6月7日,36
88734,2021/6/7,1,納品                                   ,　　,     ,        ,         ,                   ,751
88734,2021/6/7,2,PR-176L　パネルのバネ(部品)            ,個　,1,200,200,6月7日,751
88734,2021/6/7,3,送料                                   ,式　,1,1000,1000,〃                 ,751
88868,2021/6/7,1,123新三田店                            ,　　,     ,        ,         ,                   ,751
88868,2021/6/7,2,消火器処分費(17本)                     ,式　,1,21000,21000,6月7日,751
88821,2021/6/5,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,3
88821,2021/6/5,2,有本営業所（総合点検）                 ,式　,1,60000,60000,6月5日,3
88763,2021/6/5,1,サンツモリビル                         ,　　,     ,        ,         ,                   ,514
88763,2021/6/5,2,消防設備保守点検（総合点検）           ,式　,1,25000,25000,6月5日,514
88784,2021/6/5,1,延田ビル　本社                         ,　　,     ,        ,         ,                   ,751
88784,2021/6/5,2,消火ポンプ警報調査                     ,式　,1,10000,10000,6月5日,751
88781,2021/6/5,1,インテリアひろみ様                     ,　　,     ,        ,         ,                   ,899
88781,2021/6/5,2,A30 BX-30アンプ取替工事                ,式　,1,45000,45000,6月5日,899
88745,2021/6/4,1,イオンモールりんくう泉南               ,　　,     ,        ,         ,                   ,15
88745,2021/6/4,2,204-2区画　スプリンクラーヘッド増設工事,式　,1,243000,243000,6月4日,15
88776,2021/6/4,1,奈良医療センター                       ,　　,     ,        ,         ,                   ,616
88776,2021/6/4,2,自動火災報知設備工事                   ,式　,1,40000,40000,6月4日,616
88760,2021/6/4,1,西村様邸                               ,　　,     ,        ,         ,                   ,1082
88760,2021/6/4,2,換気扇取替工事（材工共）               ,式　,1,10000,10000,6月4日,1082
88740,2021/6/3,1,イオンモールりんくう泉南               ,　　,     ,        ,         ,                   ,15
88740,2021/6/3,2,防火設備検査立会                       ,式　,1,486000,486000,5/24～6/3          ,15
88779,2021/6/2,1,オークワ岬店                           ,　　,     ,        ,         ,                   ,259
88779,2021/6/2,2,換気扇フード取替工事                   ,　　,     ,        ,         ,6月2日,259
88779,2021/6/2,3,AT-50FCGS 深形フード                   ,台　,1,3000,3000,〃                 ,259
88779,2021/6/2,4,P-13VS4　深形フード                    ,台　,5,4500,22500,〃                 ,259
88779,2021/6/2,5,高車費用                               ,台　,1,10000,10000,〃                 ,259
88779,2021/6/2,6,工事費                                 ,式　,1,40000,40000,〃                 ,259
88779,2021/6/2,7,諸経費                                 ,式　,1,7500,7500,〃                 ,259
88761,2021/6/2,1,酒直                                   ,　　,     ,        ,         ,                   ,688
88761,2021/6/2,2,硝子部ブロック塀改修に伴う電気設備工事 ,式　,1,300000,300000,6/2･22･23･27       ,688
88735,2021/6/2,1,123和歌山インター店                    ,　　,     ,        ,         ,                   ,751
88735,2021/6/2,2,防火設備点検後不備改修工事             ,式　,1,600000,600000,6月2日,751
88744,2021/6/1,1,イオンモールりんくう泉南               ,　　,     ,        ,         ,                   ,15
88744,2021/6/1,2,C等3階1及び4駐車場端末断線調査         ,式　,1,54000,54000,6月1日,15
88736,2021/6/1,1,東急ドエル摩耶                         ,　　,     ,        ,         ,                   ,751
88736,2021/6/1,2,機器納品分                             ,式　,1,215780,215780,3/1・3/23          ,751
88736,2021/6/1,3,自動火災報知受信機取替工事             ,式　,1,460000,460000,6月1日,751
88772,2021/6/1,1,グリーンシャポービル　納品             ,　　,     ,        ,         ,                   ,1059
88772,2021/6/1,2,誘導灯                                 ,式　,1,25300,25300,6月1日,1059
88772,2021/6/1,3,定温式スポット型感知器1種防水          ,個　,2,1350,2700,〃                 ,1059
88619,2021/5/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,15
88619,2021/5/31,2,りんくうエルガビル（機器点検）         ,式　,1,390000,390000,3/23～3/25         ,15
88619,2021/5/31,3,イオン貝塚店（総合点検）               ,式　,1,220000,220000,4月14日,15
88619,2021/5/31,4,イオンモールりんくう泉南（総合点検）   ,式　,1,1500000,1500000,4/19～5/7          ,15
88619,2021/5/31,5,プリマード東岸和田（総合点検）         ,式　,1,160000,160000,5/7・5/8           ,15
88619,2021/5/31,6,ライオンズマンション三木町（機器点検） ,式　,1,48000,48000,5月12日,15
88619,2021/5/31,7,ライオンズマンション田中町（機器点検） ,式　,1,57600,57600,5月14日,15
88650,2021/5/31,1,りんくうプレミアムアウトレット         ,　　,     ,        ,         ,                   ,15
88650,2021/5/31,2,防火設備検査立会費                     ,式　,1,40000,40000,5月28日,15
88684,2021/5/31,1,グリーンフル夏目　205号室              ,　　,     ,        ,         ,                   ,45
88684,2021/5/31,2,住警器(取付費込)                       ,台　,1,3000,3000,5月31日,45
88697,2021/5/31,1,パルビル　電球交換                     ,　　,     ,        ,         ,                   ,48
88697,2021/5/31,2,5月31日,　　,     ,        ,         ,                   ,48
88697,2021/5/31,3,1階　廊下　ハイビーム球                ,個　,2,1980,3960,                   ,48
88697,2021/5/31,4,取替費                                 ,式　,1,2000,2000,                   ,48
88663,2021/5/31,1,㈱アイセン　赤坂工場様                 ,　　,     ,        ,         ,                   ,199
88663,2021/5/31,2,給水加圧ポンプ取替工事                 ,式　,1,224000,224000,                   ,199
88666,2021/5/31,1,㈱アイセン　赤坂工場様                 ,　　,     ,        ,         ,                   ,199
88666,2021/5/31,2,ロータンクボールタップ                 ,　　,     ,        ,         ,                   ,199
88666,2021/5/31,3,ボールタップ                           ,台　,1,6500,6500,                   ,199
88666,2021/5/31,4,フロートバルブ                         ,台　,1,790,790,                   ,199
88666,2021/5/31,5,パッキン                               ,式　,1,320,320,                   ,199
88666,2021/5/31,6,取替費                                 ,式　,1,12600,12600,                   ,199
88666,2021/5/31,7,諸経費                                 ,式　,1,2790,2790,                   ,199
88654,2021/5/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,419
88654,2021/5/31,2,㈱AGARA食品製造工場（総合点検）        ,式　,1,20000,20000,5月7日,419
88654,2021/5/31,3,和歌山日産自動車㈱有田店（機器点検）   ,式　,1,7500,7500,〃                 ,419
88654,2021/5/31,4,サンレックス（機器点検）               ,式　,1,70000,70000,5月10日,419
88654,2021/5/31,5,四郷地域交流センター（総合点検）       ,式　,1,20000,20000,5月18日,419
88654,2021/5/31,6,笠田東児童館（総合点検）               ,式　,1,8000,8000,〃                 ,419
88654,2021/5/31,7,〃　　　（防火対象物点検）             ,式　,1,18000,18000,〃                 ,419
88654,2021/5/31,8,笠田公民館佐野分館（総合点検）         ,式　,1,9000,9000,〃                 ,419
88654,2021/5/31,9,〃　　　（防火対象物点検）             ,式　,1,20000,20000,〃                 ,419
88654,2021/5/31,10,エバグリーン有田店（機器点検）         ,式　,1,24000,24000,5月21日,419
88654,2021/5/31,11,スーパーエバグリーン四箇郷店（機器点検）,式　,1,24000,24000,5月24日,419
88654,2021/5/31,12,和歌山県農業共済組合北部支店(機器点検) ,式　,1,9000,9000,5月25日,419
88654,2021/5/31,13,かつらぎ町立四邑公民館（機器点検）     ,式　,1,15000,15000,〃                 ,419
88643,2021/5/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,751
88643,2021/5/31,2,岡山テナント（機器点検）               ,式　,1,15000,15000,4月8日,751
88643,2021/5/31,3,123＋Ｎ岡山本店（総合点検）            ,式　,1,120000,120000,〃                 ,751
88643,2021/5/31,4,〃　　　（防火対象物点検）             ,式　,1,40000,40000,〃                 ,751
88643,2021/5/31,5,123浜野店（総合点検）                  ,式　,1,140000,140000,4月9日,751
88643,2021/5/31,6,〃　　　（防火対象物点検）             ,式　,1,40000,40000,〃                 ,751
88643,2021/5/31,7,123藤田店（総合点検）                  ,式　,1,120000,120000,4月12日,751
88643,2021/5/31,8,〃　　　（防火対象物点検）             ,式　,1,40000,40000,〃                 ,751
88643,2021/5/31,9,123論田店（総合点検）                  ,式　,1,60000,60000,4月14日,751
88643,2021/5/31,10,〃　　　（防火対象物点検）             ,式　,1,25000,25000,〃                 ,751
88643,2021/5/31,11,123田宮店・立体駐車場（総合点検）      ,式　,1,90000,90000,4月15日,751
88643,2021/5/31,12,〃　　　（防火対象物点検）             ,式　,1,25000,25000,〃                 ,751
88643,2021/5/31,13,123阿南店（総合点検）                  ,式　,1,60000,60000,4月16日,751
88643,2021/5/31,14,〃　　　（防火対象物点検）             ,式　,1,25000,25000,〃                 ,751
88643,2021/5/31,15,123宝塚店（機器点検）                  ,式　,1,90000,90000,4月20日,751
88643,2021/5/31,16,123塩屋店（機器点検）                  ,式　,1,100000,100000,4月21日,751
88643,2021/5/31,17,123長吉店（機器点検）                  ,式　,1,100000,100000,5月11日,751
88643,2021/5/31,18,123横浜西口店（機器点検）              ,式　,1,70000,70000,5月12日,751
88629,2021/5/31,1,ひろみ家具泉佐野店新築工事             ,　　,     ,        ,         ,                   ,899
88629,2021/5/31,2,1階・2階・3階エアコン撤去              ,　　,     ,        ,         ,                   ,899
88629,2021/5/31,3,撤去工事                               ,式　,1,100000,100000,                   ,899
88629,2021/5/31,4,廃棄処分費                             ,式　,1,50000,50000,                   ,899
88670,2021/5/31,1,ユニゾ人形町３丁目ビル                 ,　　,     ,        ,         ,                   ,1065
88670,2021/5/31,2,消防設備保守点検(機器点検）            ,式　,1,83000,83000,                   ,1065
88775,2021/5/29,1,医療法人守人会　塚田内科クリニック     ,　　,     ,        ,         ,                   ,616
88775,2021/5/29,2,差動式スポット型感知器2種              ,個　,1,1850,1850,5月29日,616
88775,2021/5/29,3,工事費                                 ,式　,1,15000,15000,〃                 ,616
88775,2021/5/29,4,諸経費                                 ,式　,1,2150,2150,〃                 ,616
88722,2021/5/28,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,438
88722,2021/5/28,2,オーエース（機器点検）                 ,式　,1,54000,54000,5月28日,438
88723,2021/5/28,1,桐蔭高校                               ,　　,     ,        ,         ,                   ,763
88723,2021/5/28,2,事務室ワゴンモール付属品取替修繕       ,式　,1,10000,10000,5月28日,763
88716,2021/5/27,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,138
88716,2021/5/27,2,ヨーロピアン六十谷（総合点検）         ,式　,1,30000,30000,5月27日,138
88637,2021/5/27,1,和防工業                               ,　　,     ,        ,         ,                   ,259
88637,2021/5/27,2,防犯カメラ取付                         ,式　,1,313000,313000,5月27日,259
88633,2021/5/27,1,LED照明器具                            ,台　,1,11000,11000,5月27日,692
88633,2021/5/27,2,取替工事費                             ,式　,1,5000,5000,〃                 ,692
88645,2021/5/27,1,NESTA RESORT KOBE                      ,　　,     ,        ,         ,                   ,751
88645,2021/5/27,2,バンジージャンプ放送スピーカー取付工事 ,式　,1,74000,74000,5月27日,751
88721,2021/5/27,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,1089
88721,2021/5/27,2,ロマンビレッジ（総合点検）             ,式　,1,50000,50000,5月27日,1089
88683,2021/5/26,1,ロイヤルコーポ前田　304号室            ,　　,     ,        ,         ,                   ,45
88683,2021/5/26,2,住警器(取付費込)                       ,台　,2,3000,6000,5月26日,45
88764,2021/5/26,1,消防設備保守点検（総合点検）           ,　　,     ,        ,         ,                   ,1009
88764,2021/5/26,2,旧工場                                 ,式　,1,15000,15000,5月26日,1009
88764,2021/5/26,3,新工場                                 ,式　,1,30000,30000,〃                 ,1009
88632,2021/5/26,1,ユーフーズ株式会社　様                 ,　　,     ,        ,         ,                   ,1071
88632,2021/5/26,2,1階天井裏誤報感知器取替                ,　　,     ,        ,         ,                   ,1071
88632,2021/5/26,3,光電式スポット型感知器2種              ,個　,1,12000,12000,5月26日,1071
88632,2021/5/26,4,工事費                                 ,式　,1,5000,5000,〃                 ,1071
88632,2021/5/26,5,出張費                                 ,式　,1,1500,1500,〃                 ,1071
88691,2021/5/25,1,HondaCars紀の川サービス工場            ,　　,     ,        ,         ,                   ,152
88691,2021/5/25,2,届出立会試験費                         ,式　,1,50000,50000,5月25日,152
88706,2021/5/25,1,吉岡商店様                             ,　　,     ,        ,         ,                   ,279
88706,2021/5/25,2,機械電源不調調査費                     ,式　,1,13000,13000,5月25日,279
88618,2021/5/25,1,図面作成費                             ,式　,1,250000,250000,                   ,505
88618,2021/5/25,2,現場応援費                             ,式　,1,300000,300000,                   ,505
88618,2021/5/25,3,車経費　立替                           ,式　,1,13000,13000,                   ,505
88628,2021/5/25,1,グリーンシャポービル                   ,　　,     ,        ,         ,                   ,1059
88628,2021/5/25,2,CO2ボンベ廃棄処分費(運送費込)          ,本　,20,25000,500000,5月25日,1059
88638,2021/5/25,1,宮本様邸                               ,　　,     ,        ,         ,                   ,1082
88638,2021/5/25,2,ｷｯﾁﾝ専用回路ｺﾝｾﾝﾄ増設外電気設備工事    ,式　,1,50000,50000,5月25日,1082
88620,2021/5/24,1,イオンモールりんくう泉南               ,　　,     ,        ,         ,                   ,15
88620,2021/5/24,2,155区画　原状回復防災工事              ,式　,1,215100,215100,4/10・4/12         ,15
88620,2021/5/24,3,〃　　 　新店B工事                     ,式　,1,86400,86400,5/14・5/15         ,15
88620,2021/5/24,4,〃 　　　感知器端末断線修理作業        ,式　,1,122400,122400,5月15日,15
88620,2021/5/24,5,〃　 　　新店B工事消防手続立会試験費   ,式　,1,27000,27000,5月24日,15
