"売上№=masterid,dempyounum",売上日=uriagebi,得意先ｺｰﾄﾞ=customerid,得意先名,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,
88366,2021/2/26,578,中矢電設                                          ,5,室外表示灯,個　,1,800,800,〃                  ,
88366,2021/2/26,578,中矢電設                                          ,6,取付費及び試験調整費,式　,1,20000,20000,〃                  ,
88366,2021/2/26,578,中矢電設                                          ,7,諸経費,式　,1,2456,2456,〃                  ,
88416,2021/2/26,697,有料老人ホーム　かしの木苑                        ,1,消防設備保守点検（総合点検）,式　,1,30000,30000,2月26日,
88311,2021/2/26,751,岡野消防設備株式会社                              ,1,納品,　　,      ,         ,          ,                    ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,2,｢消火用散水栓｣標識シール120×400mm,枚　,3,1500,4500,2月9日,
88311,2021/2/26,751,岡野消防設備株式会社                              ,3,操作シール89×84mm,枚　,2,800,1600,〃                  ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,4,送料,式　,1,1500,1500,〃                  ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,5,　,　　,      ,         ,          ,                    ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,6,ナンカイ工業分,　　,      ,         ,          ,                    ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,7,ベル,個　,1,1440,1440,2月15日,
88311,2021/2/26,751,岡野消防設備株式会社                              ,8,V25AS　専用充電器,台　,1,19800,19800,〃                  ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,9,FB14L-A2(DC12V･14Ah),台　,1,17430,17430,〃                  ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,10,　,　　,      ,         ,          ,                    ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,11,123鶴橋店・寮分,　　,      ,         ,          ,                    ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,12,WA25　ボールタップ,個　,2,8500,17000,2月19日,
88311,2021/2/26,751,岡野消防設備株式会社                              ,13,送料,式　,1,1000,1000,〃                  ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,14,　,　　,      ,         ,          ,                    ,
88311,2021/2/26,751,岡野消防設備株式会社                              ,15,PR-176L　パネルのバネ(部品),個　,1,200,200,2月26日,
88311,2021/2/26,751,岡野消防設備株式会社                              ,16,送料,式　,1,1000,1000,〃                  ,
88361,2021/2/25,60,有限会社梶本無線商会                              ,1,住金　高橋組,　　,      ,         ,          ,                    ,
88361,2021/2/25,60,有限会社梶本無線商会                              ,2,防犯灯新設工事,式　,1,50000,50000,2/10・2/25          ,
88374,2021/2/25,96,医療法人光明会　はしもと整形外科                  ,1,はしもと整形外科　様,　　,      ,         ,          ,                    ,
88374,2021/2/25,96,医療法人光明会　はしもと整形外科                  ,2,TOTO YKT100R　ペーパータオルホルダー,個　,5,2500,12500,2月25日,
88374,2021/2/25,96,医療法人光明会　はしもと整形外科                  ,3,取付費,式　,1,10000,10000,〃                  ,
88374,2021/2/25,96,医療法人光明会　はしもと整形外科                  ,4,諸経費,式　,1,2500,2500,〃                  ,
88276,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,1,日本赤十字社和歌山医療センター,　　,      ,         ,          ,                    ,
88276,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,2,2010年製消火器取替,　　,      ,         ,          ,                    ,
88276,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,3,本館1階ER･7階ICU,式　,1,13000,13000,                    ,
88276,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,4,本館地下1階～5階,式　,1,115000,115000,                    ,
88276,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,5,本館6階～ヘリポート,式　,1,113000,113000,                    ,
88276,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,6,　,　　,      ,         ,          ,                    ,
88276,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,7,南館5階　ｱﾗｰﾑ弁　ﾎﾞｰﾙｺｯｸ交換作業,式　,1,18500,18500,                    ,
88277,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,1,オークワ新宮駐車場,　　,      ,         ,          ,                    ,
88277,2021/2/25,207,ニッタン株式会社　和歌山営業所                    ,2,防災設備更新工事,式　,1,450000,450000,                    ,
88259,2021/2/25,505,神樂防災株式会社                                  ,1,図面作成費,式　,1,250000,250000,                    ,
88259,2021/2/25,505,神樂防災株式会社                                  ,2,現場応援費,式　,1,300000,300000,                    ,
88414,2021/2/25,956,ライフサイズ野崎                                  ,1,ライフサイズ野崎 様,　　,      ,         ,          ,                    ,
88414,2021/2/25,956,ライフサイズ野崎                                  ,2,消防設備保守点検（機器点検）,式　,1,140000,140000,2月25日,
88290,2021/2/24,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
88290,2021/2/24,15,泉州防災株式会社                                  ,2,1600区画　消防設備工事,式　,1,964000,964000,R2.12/26～2/24      ,
88290,2021/2/24,15,泉州防災株式会社                                  ,3,〃　スプリンクラー設備工事,式　,1,250000,250000,〃                  ,
88342,2021/2/24,45,株式会社アイワライフネット                        ,1,入山マンション,　　,      ,         ,          ,                    ,
88342,2021/2/24,45,株式会社アイワライフネット                        ,2,表示灯LED付,個　,1,1800,1800,2月24日,
88342,2021/2/24,45,株式会社アイワライフネット                        ,3,取替費,式　,1,1500,1500,〃                  ,
88342,2021/2/24,45,株式会社アイワライフネット                        ,4,出張費,式　,1,1500,1500,〃                  ,
88356,2021/2/24,546,株式会社江川組                                    ,1,キングライン湊危険物倉庫　納品,　　,      ,         ,          ,                    ,
88356,2021/2/24,546,株式会社江川組                                    ,2,危険物標識用切り文字,枚　,2,1500,3000,2月24日,
88291,2021/2/22,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
88291,2021/2/22,15,泉州防災株式会社                                  ,2,1600区画　納品,　　,      ,         ,          ,                    ,
88291,2021/2/22,15,泉州防災株式会社                                  ,3,粉末ABC消火器10型（設置台共）,本　,4,5000,20000,2月22日,
88307,2021/2/22,419,綜合警備保障株式会社                              ,1,四季の郷,　　,      ,         ,          ,                    ,
88307,2021/2/22,419,綜合警備保障株式会社                              ,2,実差動試験,式　,1,10000,10000,2月22日,
88369,2021/2/22,803,和歌山トヨタ自動車株式会社                        ,1,消防設備保守点検（総合点検）,式　,1,40000,40000,2月22日,
88318,2021/2/22,834,株式会社ユニトラ                                  ,1,トランスコスモス㈱様,　　,      ,         ,          ,                    ,
88318,2021/2/22,834,株式会社ユニトラ                                  ,2,二酸化炭素2.3kg消火器,本　,1,15000,15000,1/26・2/22          ,
88318,2021/2/22,834,株式会社ユニトラ                                  ,3,BKTYC5R　消火器用ブラケット(取付費含),個　,1,7000,7000,〃                  ,
88226,2021/2/20,45,株式会社アイワライフネット                        ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88226,2021/2/20,45,株式会社アイワライフネット                        ,2,ラ・フィーネ和歌山壱番館（総合点検）,式　,1,51440,51440,12月12日,
88226,2021/2/20,45,株式会社アイワライフネット                        ,3,グリーンフルカルム（総合点検）,式　,1,27120,27120,〃                  ,
88226,2021/2/20,45,株式会社アイワライフネット                        ,4,セジュール中之島（総合点検）,式　,1,17280,17280,1月16日,
88226,2021/2/20,45,株式会社アイワライフネット                        ,5,グリーンフル堀井（総合点検）,式　,1,32820,32820,〃                  ,
88226,2021/2/20,45,株式会社アイワライフネット                        ,6,コスモハイツ秋月（総合点検）,式　,1,17500,17500,1月19日,
88226,2021/2/20,45,株式会社アイワライフネット                        ,7,サンハイツ(総合点検),式　,1,34680,34680,2月19日,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,1,空調取替工事,　　,      ,         ,          ,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,2,SSRC63BFV　BYCP552H160,　　,      ,         ,          ,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,3,ｽｶｲｴｱ　FIVESTAR　天ｶｾｴｺ･ﾀﾞﾌﾞﾙﾌﾛｰ形,台　,1,300000,300000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,4,ｸﾞﾘｰﾝ購入法適合,　　,      ,         ,          ,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,5,BRC1G3　ｴｺﾊﾟﾈﾙ(ﾌﾚｯｼｭﾎﾜｲﾄ)ｾﾝｼﾝｸﾞ,台　,1,26400,26400,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,6,BRC1G3　運転ﾘﾓｺﾝ・液晶ﾜｲﾔｰﾄﾞ,式　,1,15600,15600,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,7,KDB53C160F　ﾜｲﾄﾞﾊﾟﾈﾙ(ﾌﾚｯｼｭﾎﾜｲﾄ),台　,1,16720,16720,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,8,BAEF55C160　ｽﾄﾘｰﾏ除菌ﾕﾆｯﾄ,台　,1,78000,78000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,9,搬入据付費,式　,1,80000,80000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,10,既設設備撤去工事,式　,1,10000,10000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,11,冷媒配管工事,式　,1,10000,10000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,12,ﾄﾞﾚﾝ配管工事,式　,1,10000,10000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,13,制御配線工事,式　,1,10000,10000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,14,冷媒回収破壊処理費,式　,1,15000,15000,                    ,
88266,2021/2/20,96,医療法人光明会　はしもと整形外科                  ,15,諸経費,式　,1,28280,28280,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,2,シャーメゾンオーキッド,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,3,メゾンクレール,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,4,フォーレスロ―カット,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,5,シャーメゾン府中,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,6,ヴィオス神前,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,7,ヴィオトープ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,8,ジュリアード松江,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,9,シャーメゾンうの,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,10,シャーメゾン広川,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,11,メゾン・ルテシィアⅡ,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,12,シャーメゾン岩出,式　,1,704,704,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,13,シャーメゾン黒江,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,14,シャーメゾン野田,式　,1,737,737,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,15,フロントパディーⅡ,式　,1,737,737,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,16,シャーメゾン名高,式　,1,2068,2068,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,17,シャーメゾン尾崎,式　,1,1485,1485,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,18,シャーメゾン有田,式　,1,825,825,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,19,シャーメゾン中島,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,20,グリーンルーフ,式　,1,660,660,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,21,グリーンルーフ,式　,1,660,660,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,22,シャーメゾン砂山南,式　,1,5907,5907,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,23,べレオＫ,式　,1,2068,2068,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,24,べレオ太田,式　,1,2068,2068,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,25,シャーメゾンｂｒｉｌｌｉａｎｔ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,26,べレオ新通,式　,1,2068,2068,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,27,アメニティ太田,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,28,べレオ堀止西,式　,1,2068,2068,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,29,ヴィレッジ三年坂,式　,1,4136,4136,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,30,ベレオ西浜ハーモニーガーデン,式　,1,3102,3102,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,31,ディアス妙寺,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,32,グリーンルーフ妙寺,式　,1,990,990,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,33,ベレオ園部,式　,1,3102,3102,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,34,ガーデンハイツⅡ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,35,コラール堀止,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,36,シャーメゾン葵,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,37,ベルデ堀口,式　,1,2068,2068,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,38,シャーメゾンＷＩＬＬ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,39,ＳｈａＭａｉｓｏｎ　ＮＡ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,40,ベレオＢｒｉｌｌｉａｎｔ,式　,1,1650,1650,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,41,ベレオ紀三井寺,式　,1,1100,1100,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,42,ベレオけやき,式　,1,4136,4136,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,43,シャーメゾン松江北,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,44,ベレオコスモ,式　,1,1650,1650,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,45,シャーメゾンＬａＬａ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,46,ベレオ小堀,式　,1,4136,4136,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,47,ベレオ寺町通り,式　,1,3102,3102,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,48,メゾンド・ベレオ,式　,1,1650,1650,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,49,シャーメゾン宝亀,式　,1,3454,3454,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,50,ベレオ小野町,式　,1,2068,2068,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,51,シャーメゾン彩花,式　,1,990,990,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,52,ベレオ広瀬,式　,1,5907,5907,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,53,Ｔｏｕｒｎｅｓｏｌ,式　,1,4136,4136,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,54,Ｍａｉｓｏｎ　ｄｅ　Ａｌｌｉｅ,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,55,ディアス松野,式　,1,1045,1045,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,56,プロヌーブ今福,式　,1,990,990,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,57,ベレオ黒田ＳＯＵＴＨ,式　,1,990,990,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,58,Ｆｅｌｉｃａ紀三井寺,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,59,ＢＥＲＥＯ　ＷＡＫＡＹＡＭＡ,式　,1,1595,1595,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,60,シャーメゾン茶屋ノ丁,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,61,ベレオくすのき,式　,1,4136,4136,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,62,ＢＥＲＥＯ　Ｒｉａｎ,式　,1,3102,3102,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,63,フレグランス船所,式　,1,1166,1166,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,64,フレグランス船所Ⅱ,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,65,メゾンドソレイユ,式　,1,245,245,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,66,シャーメゾンガーデンズ紀三井寺,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,67,シャーメゾン幡川,式　,1,990,990,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,68,ロイヤルヒルズ三番丁,式　,1,1650,1650,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,69,シャーメゾン秋月の杜,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,70,ブランシェ堀止,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,71,ベレオクシモト,式　,1,4092,4092,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,72,ベレオグルース西紺屋,式　,1,1595,1595,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,73,プロヌーブ下津野,式　,1,990,990,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,74,リヴェール　ヒデ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,75,ディアス松島,式　,1,517,517,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,76,タウニィ寿里,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,77,フォーブル木ノ本,式　,1,1166,1166,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,78,ラベニュー城山,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,79,フレグランス吹上,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,80,メゾン南方,式　,1,1045,1045,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,81,ラベニュー岩橋,式　,1,1166,1166,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,82,タウニィ山村,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,83,ラベニュー谷口,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,84,タウニィ酒井,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,85,フレグランス畑屋敷,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,86,フォーブル苗代,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,87,フォーブル若葉,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,88,フォーブル松見,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,89,ラベニューコスモ,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,90,タウニィ紀ノ川,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,91,タウニィ料理松,式　,1,1122,1122,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,92,タウニィ清水,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,93,タウニィ浜代,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,94,タウニィ浜代２,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,95,フォーブルさち,式　,1,1397,1397,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,96,タウニィ美園,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,97,フレグランス松江,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,98,セキワガーデンハウス春日,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,99,ラベニュー根来,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,100,シローズフレグランス,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,101,ドミールクルス,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,102,グリーンビレッジ２１,式　,1,2145,2145,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,103,サニーハイツひまわり,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,104,パールハイツ有田,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,105,フレグランス小林,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,106,フレグランス延時,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,107,フレグランス畑毛,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,108,フレグランス藤井,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,109,フレグランス山崎,式　,1,1166,1166,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,110,フレグランス森澤,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,111,フレグランス中松江,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,112,ガーデンハイツ箕島,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,113,アドザックス吉田,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,114,石津ハイツ,式　,1,1045,1045,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,115,フォーブル石野,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,116,フレグランス翠,式　,1,2354,2354,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,117,アドザックス吉田Ｂ棟,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,118,マリポーサ前田,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,119,フレグランス巴,式　,1,1485,1485,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,120,フレグランス堀止,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,121,フレグランス六十谷,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,122,フレグランス木ノ本,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,123,フレグランス今吉,式　,1,1166,1166,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,124,フレグランス矢野,式　,1,1045,1045,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,125,フレグランス平田,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,126,フレグランス築港,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,127,フレグランス松ヶ丘,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,128,フレグランス秋桜,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,129,フレグランス雑賀,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,130,フレグランスロゼ,式　,1,2134,2134,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,131,グラン・ファーム,式　,1,1166,1166,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,132,フレグランス栄,式　,1,1045,1045,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,133,Ｃｉｔｙ　Ｋｉｎｏｍｏｔｏ,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,134,フレグランスせせらぎ,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,135,フレグランスＡＫＩＨＯ,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,136,フレグランスさつき,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,137,ガーデンハイツ小二里,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,138,フレグランス桜ヶ丘,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,139,ガーデンハイツ小二里２,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,140,ディアスワーブラー,式　,1,770,770,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,141,フレグランス藤井Ⅱ,式　,1,693,693,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,142,フレグランスフクイ,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,143,ディアス栄谷,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,144,ディアスかもと,式　,1,968,968,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,145,ベルメゾン,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,146,フレグランス竹中,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,147,ディアス松ヶ丘,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,148,ディアス北村,式　,1,1122,1122,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,149,ディアスミレット,式　,1,1320,1320,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,150,ディアスＭ,式　,1,1958,1958,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,151,フォーブル松南,式　,1,495,495,                    ,
88204,2021/2/20,378,積水ハウス不動産関西株式会社                      ,152,ウェストヒルズ,式　,1,1320,1320,                    ,
